sequence,planned_ms,computed_ms,durable_ms
1,0,0.001771,6.60671
2,0,0.002262,6.60671
3,0,0.002512,6.60671
4,0,0.002807,6.60671
5,0,0.003075,6.60671
6,0,0.003396,6.60671
7,0,0.003667,6.60671
8,0,0.003966,6.60671
9,0,6.64489,13.2859
10,0,6.64533,13.2859
11,0,6.6456,13.2859
12,0,6.64588,13.2859
13,0,6.64619,13.2859
14,0,6.64644,13.2859
15,0,6.64674,13.2859
16,0,6.64697,13.2859
17,0,13.3208,22.2995
18,0,13.3214,22.2995
19,0,13.3219,22.2995
20,0,13.3223,22.2995
21,100,100.111,106.731
22,100,100.111,106.731
23,100,100.111,106.731
24,100,100.111,106.731
25,100,100.112,106.731
26,100,100.112,106.731
27,100,100.112,106.731
28,100,100.112,106.731
29,100,106.758,113.425
30,100,106.759,113.425
31,100,106.759,113.425
32,100,106.759,113.425
33,100,106.759,113.425
34,100,106.759,113.425
35,100,106.76,113.425
36,100,106.76,113.425
37,100,113.475,122.502
38,100,113.475,122.502
39,100,113.476,122.502
40,100,113.476,122.502
41,200,200.091,210.814
42,200,200.092,210.814
43,200,200.093,210.814
44,200,200.093,210.814
45,200,200.094,210.814
46,200,200.094,210.814
47,200,200.094,210.814
48,200,200.094,210.814
49,200,210.866,220.561
50,200,210.866,220.561
51,200,210.867,220.561
52,200,210.867,220.561
53,200,210.867,220.561
54,200,210.868,220.561
55,200,210.868,220.561
56,200,210.869,220.561
57,200,220.621,232.872
58,200,220.622,232.872
59,200,220.623,232.872
60,200,220.623,232.872
61,300,300.106,306.706
62,300,300.106,306.706
63,300,300.106,306.706
64,300,300.107,306.706
65,300,300.107,306.706
66,300,300.107,306.706
67,300,300.107,306.706
68,300,300.107,306.706
69,300,306.745,313.414
70,300,306.745,313.414
71,300,306.745,313.414
72,300,306.746,313.414
73,300,306.746,313.414
74,300,306.746,313.414
75,300,306.747,313.414
76,300,306.747,313.414
77,300,313.468,322.248
78,300,313.469,322.248
79,300,313.469,322.248
80,300,313.469,322.248
81,400,400.072,406.861
82,400,400.073,406.861
83,400,400.073,406.861
84,400,400.073,406.861
85,400,400.073,406.861
86,400,400.074,406.861
87,400,400.074,406.861
88,400,400.074,406.861
89,400,406.904,413.513
90,400,406.904,413.513
91,400,406.904,413.513
92,400,406.905,413.513
93,400,406.905,413.513
94,400,406.905,413.513
95,400,406.906,413.513
96,400,406.906,413.513
97,400,413.555,422.22
98,400,413.556,422.22
99,400,413.556,422.22
100,400,413.556,422.22
101,500,500.077,506.704
102,500,500.078,506.704
103,500,500.078,506.704
104,500,500.078,506.704
105,500,500.078,506.704
106,500,500.079,506.704
107,500,500.079,506.704
108,500,500.079,506.704
109,500,506.731,513.256
110,500,506.732,513.256
111,500,506.732,513.256
112,500,506.732,513.256
113,500,506.732,513.256
114,500,506.733,513.256
115,500,506.733,513.256
116,500,506.733,513.256
117,500,513.31,522.213
118,500,513.311,522.213
119,500,513.312,522.213
120,500,513.312,522.213
121,600,600.07,606.72
122,600,600.071,606.72
123,600,600.071,606.72
124,600,600.071,606.72
125,600,600.071,606.72
126,600,600.072,606.72
127,600,600.072,606.72
128,600,600.072,606.72
129,600,606.746,613.727
130,600,606.747,613.727
131,600,606.747,613.727
132,600,606.747,613.727
133,600,606.747,613.727
134,600,606.748,613.727
135,600,606.748,613.727
136,600,606.748,613.727
137,600,613.757,622.61
138,600,613.757,622.61
139,600,613.758,622.61
140,600,613.758,622.61
141,700,700.072,706.747
142,700,700.073,706.747
143,700,700.073,706.747
144,700,700.073,706.747
145,700,700.073,706.747
146,700,700.074,706.747
147,700,700.074,706.747
148,700,700.074,706.747
149,700,706.774,713.477
150,700,706.774,713.477
151,700,706.774,713.477
152,700,706.775,713.477
153,700,706.775,713.477
154,700,706.775,713.477
155,700,706.775,713.477
156,700,706.775,713.477
157,700,713.515,722.506
158,700,713.515,722.506
159,700,713.516,722.506
160,700,713.516,722.506
161,800,800.099,806.864
162,800,800.099,806.864
163,800,800.099,806.864
164,800,800.1,806.864
165,800,800.1,806.864
166,800,800.1,806.864
167,800,800.1,806.864
168,800,800.1,806.864
169,800,806.901,813.706
170,800,806.902,813.706
171,800,806.902,813.706
172,800,806.903,813.706
173,800,806.904,813.706
174,800,806.904,813.706
175,800,806.905,813.706
176,800,806.905,813.706
177,800,813.742,822.427
178,800,813.743,822.427
179,800,813.743,822.427
180,800,813.743,822.427
181,900,900.1,906.566
182,900,900.1,906.566
183,900,900.1,906.566
184,900,900.101,906.566
185,900,900.101,906.566
186,900,900.101,906.566
187,900,900.101,906.566
188,900,900.101,906.566
189,900,906.603,913.189
190,900,906.603,913.189
191,900,906.604,913.189
192,900,906.604,913.189
193,900,906.605,913.189
194,900,906.605,913.189
195,900,906.605,913.189
196,900,906.605,913.189
197,900,913.216,919.943
198,900,913.216,919.943
199,900,913.216,919.943
200,900,913.216,919.943
