sequence,planned_ms,computed_ms,durable_ms
1,0,0.001217,6.7117
2,0,6.72953,13.2862
3,0,13.3061,19.7344
4,0,19.7525,26.4317
5,0,26.4486,33.0644
6,0,33.0903,39.895
7,0,39.9141,46.7163
8,0,46.7343,53.3413
9,0,53.3599,59.888
10,0,59.9052,66.4624
11,0,66.4785,73.0601
12,0,73.0849,79.9004
13,0,79.9159,86.8308
14,0,86.8503,99.5195
15,0,99.5385,111.777
16,0,111.811,118.367
17,0,118.385,125.001
18,0,125.019,132.034
19,0,132.054,138.672
20,0,138.69,145.419
21,100,145.435,151.957
22,100,151.977,158.608
23,100,158.627,165.537
24,100,165.552,172.046
25,100,172.06,178.804
26,100,178.818,185.391
27,100,185.41,192.088
28,100,192.103,198.765
29,100,198.784,205.58
30,100,205.594,212.378
31,100,212.395,219.168
32,100,219.186,225.827
33,100,225.846,232.624
34,100,232.643,239.4
35,100,239.417,245.803
36,100,245.816,252.389
37,100,252.406,259.017
38,100,259.035,265.594
39,100,265.615,272.383
40,100,272.405,279.122
41,200,279.136,285.758
42,200,285.774,292.566
43,200,292.583,299.175
44,200,299.193,305.694
45,200,305.715,312.782
46,200,312.824,319.573
47,200,319.589,326.366
48,200,326.379,333.062
49,200,333.08,340.117
50,200,340.141,346.978
51,200,346.991,353.546
52,200,353.564,368.527
53,200,368.546,381.919
54,200,381.939,388.536
55,200,388.555,395.876
56,200,395.895,402.45
57,200,402.469,409.066
58,200,409.085,415.746
59,200,415.765,422.584
60,200,422.606,429.186
61,300,429.206,436.079
62,300,436.097,442.592
63,300,442.609,449.28
64,300,449.3,456.074
65,300,456.094,463.363
66,300,463.382,470.811
67,300,470.828,477.887
68,300,477.907,484.562
69,300,484.581,491.159
70,300,491.179,498.176
71,300,498.19,504.654
72,300,504.674,511.365
73,300,511.378,517.981
74,300,517.999,524.486
75,300,524.503,530.976
76,300,530.995,537.414
77,300,537.436,543.821
78,300,543.835,555.07
79,300,555.09,565.425
80,300,565.441,574.916
81,400,574.944,581.737
82,400,581.756,588.287
83,400,588.306,600.78
84,400,600.818,613.211
85,400,613.226,619.473
86,400,619.487,627.674
87,400,627.691,634.284
88,400,634.299,642.395
89,400,642.412,648.877
90,400,648.894,655.527
91,400,655.546,662.512
92,400,662.53,669.07
93,400,669.09,675.849
94,400,675.868,682.369
95,400,682.387,689.073
96,400,689.098,695.815
97,400,695.832,702.317
98,400,702.333,708.79
99,400,708.843,715.47
100,400,715.483,722.108
101,500,722.127,728.698
102,500,728.717,735.24
103,500,735.256,741.986
104,500,742.006,748.668
105,500,748.687,755.189
106,500,755.211,761.655
107,500,761.673,768.049
108,500,768.066,774.573
109,500,774.591,781.264
110,500,781.282,787.886
111,500,787.906,795.329
112,500,795.345,802.217
113,500,802.237,808.789
114,500,808.816,815.389
115,500,815.406,822.078
116,500,822.098,828.657
117,500,828.694,834.966
118,500,834.98,841.362
119,500,841.38,848.083
120,500,848.103,854.608
121,600,854.626,861.33
122,600,861.344,868.091
123,600,868.109,874.598
124,600,874.619,881.146
125,600,881.162,887.581
126,600,887.596,894.067
127,600,894.08,900.352
128,600,900.363,906.66
129,600,906.678,913.6
130,600,913.619,919.979
131,600,919.997,926.418
132,600,926.437,932.979
133,600,932.994,939.357
134,600,939.375,946.084
135,600,946.104,953.076
136,600,953.09,959.657
137,600,959.673,966.276
138,600,966.289,972.814
139,600,972.833,979.384
140,600,979.399,985.597
141,700,985.613,992.08
142,700,992.098,998.453
143,700,998.475,1004.82
144,700,1004.83,1011.37
145,700,1011.4,1017.87
146,700,1017.91,1024.77
147,700,1024.79,1031.22
148,700,1031.25,1037.74
149,700,1037.76,1043.95
150,700,1043.97,1050.41
151,700,1050.42,1057.28
152,700,1057.29,1063.58
153,700,1063.59,1070.1
154,700,1070.12,1076.85
155,700,1076.87,1083.33
156,700,1083.35,1089.85
157,700,1089.87,1096.28
158,700,1096.29,1102.58
159,700,1102.6,1109.22
160,700,1109.23,1115.89
161,800,1115.91,1122.43
162,800,1122.44,1128.93
163,800,1128.95,1135.58
164,800,1135.59,1145.89
165,800,1145.91,1154.98
166,800,1154.99,1164.9
167,800,1164.92,1171.62
168,800,1171.64,1178.49
169,800,1178.51,1184.82
170,800,1184.84,1194.56
171,800,1194.58,1201.09
172,800,1201.11,1207.79
173,800,1207.81,1217.01
174,800,1217.02,1223.56
175,800,1223.57,1229.98
176,800,1230,1236.61
177,800,1236.63,1243.32
178,800,1243.34,1249.77
179,800,1249.78,1256.9
180,800,1256.92,1263.57
181,900,1263.59,1270
182,900,1270.03,1276.77
183,900,1276.79,1283.39
184,900,1283.41,1290.04
185,900,1290.06,1296.64
186,900,1296.66,1303.32
187,900,1303.35,1309.87
188,900,1309.88,1316.19
189,900,1316.2,1322.52
190,900,1322.54,1329.3
191,900,1329.32,1336.13
192,900,1336.15,1342.89
193,900,1342.9,1349.28
194,900,1349.29,1355.78
195,900,1355.81,1362.29
196,900,1362.31,1368.98
197,900,1369,1375.48
198,900,1375.5,1381.86
199,900,1381.88,1388.29
200,900,1388.3,1394.91
