sequence,planned_ms,computed_ms,durable_ms
1,0,0.002776,6.25425
2,0,0.003366,6.25425
3,0,0.003909,6.25425
4,0,0.004444,6.25425
5,0,0.004966,6.25425
6,0,0.005521,6.25425
7,0,0.00605,6.25425
8,0,0.006578,6.25425
9,0,6.28856,12.9299
10,0,6.28911,12.9299
11,0,6.28974,12.9299
12,0,6.2903,12.9299
13,0,6.29088,12.9299
14,0,6.29143,12.9299
15,0,6.29199,12.9299
16,0,6.29247,12.9299
17,0,12.9633,21.7982
18,0,12.9638,21.7982
19,0,12.9642,21.7982
20,0,12.9646,21.7982
21,100,100.107,106.643
22,100,100.107,106.643
23,100,100.108,106.643
24,100,100.108,106.643
25,100,100.108,106.643
26,100,100.108,106.643
27,100,100.109,106.643
28,100,100.109,106.643
29,100,106.67,118.875
30,100,106.67,118.875
31,100,106.67,118.875
32,100,106.671,118.875
33,100,106.671,118.875
34,100,106.671,118.875
35,100,106.671,118.875
36,100,106.671,118.875
37,100,118.923,133.115
38,100,118.923,133.115
39,100,118.924,133.115
40,100,118.925,133.115
41,200,200.074,206.859
42,200,200.076,206.859
43,200,200.076,206.859
44,200,200.077,206.859
45,200,200.078,206.859
46,200,200.079,206.859
47,200,200.079,206.859
48,200,200.084,206.859
49,200,206.907,213.351
50,200,206.908,213.351
51,200,206.909,213.351
52,200,206.91,213.351
53,200,206.91,213.351
54,200,206.91,213.351
55,200,206.911,213.351
56,200,206.912,213.351
57,200,213.396,223.756
58,200,213.396,223.756
59,200,213.397,223.756
60,200,213.397,223.756
61,300,300.106,306.627
62,300,300.106,306.627
63,300,300.106,306.627
64,300,300.107,306.627
65,300,300.107,306.627
66,300,300.107,306.627
67,300,300.107,306.627
68,300,300.108,306.627
69,300,306.666,313.265
70,300,306.667,313.265
71,300,306.667,313.265
72,300,306.668,313.265
73,300,306.668,313.265
74,300,306.669,313.265
75,300,306.669,313.265
76,300,306.67,313.265
77,300,313.302,321.943
78,300,313.302,321.943
79,300,313.302,321.943
80,300,313.303,321.943
81,400,400.081,406.726
82,400,400.083,406.726
83,400,400.083,406.726
84,400,400.084,406.726
85,400,400.085,406.726
86,400,400.086,406.726
87,400,400.086,406.726
88,400,400.087,406.726
89,400,406.767,413.261
90,400,406.767,413.261
91,400,406.768,413.261
92,400,406.768,413.261
93,400,406.768,413.261
94,400,406.769,413.261
95,400,406.769,413.261
96,400,406.769,413.261
97,400,413.314,421.957
98,400,413.315,421.957
99,400,413.315,421.957
100,400,413.316,421.957
101,500,500.085,506.815
102,500,500.086,506.815
103,500,500.087,506.815
104,500,500.087,506.815
105,500,500.088,506.815
106,500,500.088,506.815
107,500,500.089,506.815
108,500,500.089,506.815
109,500,506.86,513.5
110,500,506.861,513.5
111,500,506.861,513.5
112,500,506.862,513.5
113,500,506.863,513.5
114,500,506.863,513.5
115,500,506.864,513.5
116,500,506.864,513.5
117,500,513.544,522.364
118,500,513.545,522.364
119,500,513.545,522.364
120,500,513.546,522.364
121,600,600.105,606.52
122,600,600.106,606.52
123,600,600.106,606.52
124,600,600.106,606.52
125,600,600.107,606.52
126,600,600.107,606.52
127,600,600.107,606.52
128,600,600.108,606.52
129,600,606.56,612.914
130,600,606.561,612.914
131,600,606.561,612.914
132,600,606.562,612.914
133,600,606.562,612.914
134,600,606.563,612.914
135,600,606.563,612.914
136,600,606.563,612.914
137,600,612.959,621.844
138,600,612.96,621.844
139,600,612.96,621.844
140,600,612.961,621.844
141,700,700.104,706.637
142,700,700.104,706.637
143,700,700.105,706.637
144,700,700.105,706.637
145,700,700.105,706.637
146,700,700.105,706.637
147,700,700.106,706.637
148,700,700.106,706.637
149,700,706.666,713.296
150,700,706.666,713.296
151,700,706.666,713.296
152,700,706.667,713.296
153,700,706.667,713.296
154,700,706.667,713.296
155,700,706.668,713.296
156,700,706.668,713.296
157,700,713.336,722.207
158,700,713.336,722.207
159,700,713.337,722.207
160,700,713.337,722.207
161,800,800.075,806.79
162,800,800.076,806.79
163,800,800.077,806.79
164,800,800.078,806.79
165,800,800.078,806.79
166,800,800.079,806.79
167,800,800.079,806.79
168,800,800.08,806.79
169,800,806.821,813.653
170,800,806.822,813.653
171,800,806.822,813.653
172,800,806.822,813.653
173,800,806.822,813.653
174,800,806.823,813.653
175,800,806.823,813.653
176,800,806.823,813.653
177,800,813.682,822.447
178,800,813.683,822.447
179,800,813.683,822.447
180,800,813.683,822.447
181,900,900.104,906.785
182,900,900.104,906.785
183,900,900.104,906.785
184,900,900.105,906.785
185,900,900.105,906.785
186,900,900.105,906.785
187,900,900.106,906.785
188,900,900.106,906.785
189,900,906.835,913.427
190,900,906.836,913.427
191,900,906.836,913.427
192,900,906.836,913.427
193,900,906.836,913.427
194,900,906.837,913.427
195,900,906.837,913.427
196,900,906.837,913.427
197,900,913.472,919.931
198,900,913.473,919.931
199,900,913.473,919.931
200,900,913.474,919.931
