sequence,planned_ms,computed_ms,durable_ms
1,0,0.001965,9.80885
2,0,9.82631,16.3552
3,0,16.372,22.8675
4,0,22.8872,29.4026
5,0,29.4184,35.9604
6,0,35.9774,42.8327
7,0,42.8517,49.4917
8,0,49.5092,56.0091
9,0,56.0263,62.3615
10,0,62.3787,68.5639
11,0,68.5792,75.0859
12,0,75.1341,87.3243
13,0,87.3414,99.3005
14,0,99.3179,105.857
15,0,105.88,112.748
16,0,112.765,119.222
17,0,119.235,125.803
18,0,125.821,132.397
19,0,132.415,138.915
20,0,138.936,157.119
21,100,157.141,167.188
22,100,167.209,177.821
23,100,177.839,186.68
24,100,186.698,193.32
25,100,193.343,200.006
26,100,200.028,207.202
27,100,207.228,213.781
28,100,213.8,220.281
29,100,220.301,227.044
30,100,227.067,233.599
31,100,233.619,240.2
32,100,240.219,247.457
33,100,247.476,254.099
34,100,254.128,260.559
35,100,260.579,267.201
36,100,267.218,273.932
37,100,273.954,280.947
38,100,280.968,287.917
39,100,287.937,294.634
40,100,294.653,301.342
41,200,301.358,309.493
42,200,309.514,316.769
43,200,316.787,323.361
44,200,323.375,329.846
45,200,329.869,336.389
46,200,336.419,343.009
47,200,343.023,349.424
48,200,349.444,355.895
49,200,355.913,362.669
50,200,362.689,369.783
51,200,369.805,376.589
52,200,376.611,384.481
53,200,384.504,392.424
54,200,392.451,402.19
55,200,402.209,409.672
56,200,409.693,417.228
57,200,417.247,427.896
58,200,427.914,436.854
59,200,436.874,447.228
60,200,447.248,457.276
61,300,457.297,465.238
62,300,465.258,474.366
63,300,474.388,481.237
64,300,481.258,487.754
65,300,487.774,494.338
66,300,494.36,500.93
67,300,500.951,509.192
68,300,509.216,517.18
69,300,517.203,527.205
70,300,527.225,535.408
71,300,535.43,543.518
72,300,543.539,551.729
73,300,551.751,561.238
74,300,561.26,567.96
75,300,567.99,574.842
76,300,574.862,581.41
77,300,581.43,587.721
78,300,587.742,594.683
79,300,594.704,601.473
80,300,601.497,608.692
81,400,608.713,615.323
82,400,615.342,622.221
83,400,622.242,628.842
84,400,628.864,635.85
85,400,635.877,642.527
86,400,642.549,649.192
87,400,649.208,655.849
88,400,655.866,662.663
89,400,662.683,669.311
90,400,669.331,676.003
91,400,676.019,682.757
92,400,682.779,689.35
93,400,689.37,696.004
94,400,696.024,702.636
95,400,702.653,709.114
96,400,709.133,718.455
97,400,718.476,733.627
98,400,733.646,740.421
99,400,740.436,746.944
100,400,746.96,753.668
101,500,753.687,760.326
102,500,760.34,767.128
103,500,767.146,774.323
104,500,774.343,780.95
105,500,780.966,787.731
106,500,787.754,794.459
107,500,794.473,800.916
108,500,800.93,807.575
109,500,807.592,814.36
110,500,814.381,821.28
111,500,821.315,827.946
112,500,827.964,835.525
113,500,835.537,842.025
114,500,842.041,848.558
115,500,848.573,855.073
116,500,855.092,861.869
117,500,861.89,868.539
118,500,868.564,875.36
119,500,875.378,882.055
120,500,882.078,888.95
121,600,888.97,895.691
122,600,895.708,902.008
123,600,902.022,908.624
124,600,908.644,915.086
125,600,915.126,921.661
126,600,921.676,928.349
127,600,928.366,935.198
128,600,935.235,942.764
129,600,942.785,949.463
130,600,949.49,955.872
131,600,955.89,962.398
132,600,962.415,969.036
133,600,969.055,975.679
134,600,975.714,982.341
135,600,982.36,988.918
136,600,988.933,995.595
137,600,995.611,1002.16
138,600,1002.18,1008.9
139,600,1008.91,1015.39
140,600,1015.41,1022.17
141,700,1022.19,1028.82
142,700,1028.83,1035.1
143,700,1035.12,1041.67
144,700,1041.69,1048.28
145,700,1048.3,1055
146,700,1055.02,1061.53
147,700,1061.55,1068.09
148,700,1068.12,1074.57
149,700,1074.58,1080.96
150,700,1080.98,1087.52
151,700,1087.54,1094.26
152,700,1094.27,1100.63
153,700,1100.65,1107.22
154,700,1107.24,1113.62
155,700,1113.66,1121.48
156,700,1121.51,1128.15
157,700,1128.17,1134.79
158,700,1134.81,1141.23
159,700,1141.25,1147.85
160,700,1147.86,1154.09
161,800,1154.12,1161.51
162,800,1161.53,1167.91
163,800,1167.95,1174.58
164,800,1174.6,1180.93
165,800,1180.94,1187.41
166,800,1187.45,1194.4
167,800,1194.43,1201.2
168,800,1201.22,1207.93
169,800,1207.95,1214.51
170,800,1214.53,1220.95
171,800,1220.96,1227.63
172,800,1227.64,1242.71
173,800,1242.73,1252.04
174,800,1252.05,1258.64
175,800,1258.66,1265.2
176,800,1265.22,1271.86
177,800,1271.87,1278.57
178,800,1278.6,1285.08
179,800,1285.1,1291.54
180,800,1291.56,1298.21
181,900,1298.23,1304.77
182,900,1304.8,1311.51
183,900,1311.53,1318.01
184,900,1318.03,1324.5
185,900,1324.52,1331.09
186,900,1331.12,1337.61
187,900,1337.62,1344
188,900,1344.02,1350.33
189,900,1350.34,1356.97
190,900,1356.99,1363.76
191,900,1363.78,1370.55
192,900,1370.58,1377.22
193,900,1377.24,1383.91
194,900,1383.92,1390.64
195,900,1390.65,1397.27
196,900,1397.28,1403.85
197,900,1403.87,1410.33
198,900,1410.34,1416.58
199,900,1416.6,1423.31
200,900,1423.33,1429.69
