index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,27806186195,27864295894,1,1,1
1,27811186195,27898706171,1,1,1
2,27816186195,27934742880,1,1,1
3,27821186195,27965883963,1,1,1
4,27826186195,27987826805,1,1,1
5,27831186195,28018676301,1,1,1
6,27836186195,28048327224,1,1,1
7,27841186195,28089143097,1,1,1
8,27846186195,28117693878,1,1,1
9,27851186195,28148574532,1,1,1
10,27856186195,28179830371,1,1,1
11,27861186195,28206502660,1,1,1
12,27866186195,28234290414,1,1,1
13,27871186195,28261656044,1,1,1
14,27876186195,28269873716,1,1,1
15,27881186195,28275778584,1,1,1
16,27886186195,28281763656,1,1,1
17,27891186195,28308747167,1,1,1
18,27896186195,28346817205,1,1,1
19,27901186195,28355333561,1,1,1
20,27906186195,28364872072,1,1,1
21,27911186195,28384292987,1,1,1
22,27916186195,28409288507,1,1,1
23,27921186195,28431584100,1,1,1
24,27926186195,28463133769,1,1,1
25,27931186195,28495540786,1,1,1
26,27936186195,28525816958,1,1,1
27,27941186195,28564663011,1,1,1
28,27946186195,28592694163,1,1,1
29,27951186195,28600480665,1,1,1
30,27956186195,28607078715,1,1,1
31,27961186195,28625524926,1,1,1
32,27966186195,28651856213,1,1,1
33,27971186195,28682598548,1,1,1
34,27976186195,28713321040,1,1,1
35,27981186195,28742945218,1,1,1
36,27986186195,28777156818,1,1,1
37,27991186195,28813818801,1,1,1
38,27996186195,28839132176,1,1,1
39,28001186195,28861018164,1,1,1
40,28006186195,28886720242,1,1,1
41,28011186195,28907351174,1,1,1
42,28016186195,28939321567,1,1,1
43,28021186195,28965497333,1,1,1
44,28026186195,28987607287,1,1,1
45,28031186195,29027278585,1,1,1
46,28036186195,29055357341,1,1,1
47,28041186195,29092758215,1,1,1
48,28046186195,29128687585,1,1,1
49,28051186195,29158628087,1,1,1
50,28056186195,29194318691,1,1,1
51,28061186195,29223602982,1,1,1
52,28066186195,29253062301,1,1,1
53,28071186195,29296939839,1,1,1
54,28076186195,29326803268,1,1,1
55,28081186195,29355510760,1,1,1
56,28086186195,29381763501,1,1,1
57,28091186195,29406327304,1,1,1
58,28096186195,29428287470,1,1,1
59,28101186195,29435818771,1,1,1
60,28106186195,29443035244,1,1,1
61,28111186195,29457888479,1,1,1
62,28116186195,29482471703,1,1,1
63,28121186195,29506288722,1,1,1
64,28126186195,29540367032,1,1,1
65,28131186195,29590671995,1,1,1
66,28136186195,29614339220,1,1,1
67,28141186195,29639509507,1,1,1
68,28146186195,29670753658,1,1,1
69,28151186195,29694579392,1,1,1
70,28156186195,29720322164,1,1,1
71,28161186195,29749635400,1,1,1
72,28166186195,29779329753,1,1,1
73,28171186195,29810959374,1,1,1
74,28176186195,29834198495,1,1,1
75,28181186195,29849749846,1,1,1
76,28186186195,29857809447,1,1,1
77,28191186195,29864445441,1,1,1
78,28196186195,29872184891,1,1,1
79,28201186195,29880623119,1,1,1
80,28206186195,29900629996,1,1,1
81,28211186195,29920117118,1,1,1
82,28216186195,29943033187,1,1,1
83,28221186195,29962163007,1,1,1
84,28226186195,29980593882,1,1,1
85,28231186195,29998422334,1,1,1
86,28236186195,30016258651,1,1,1
87,28241186195,30035614580,1,1,1
88,28246186195,30053751445,1,1,1
89,28251186195,30072470782,1,1,1
90,28256186195,30090152519,1,1,1
91,28261186195,30109312187,1,1,1
92,28266186195,30124558819,1,1,1
93,28271186195,30143530464,1,1,1
94,28276186195,30162026384,1,1,1
95,28281186195,30181608401,1,1,1
96,28286186195,30194830622,1,1,1
97,28291186195,30221640714,1,1,1
98,28296186195,30238067333,1,1,1
99,28301186195,30254575086,1,1,1
100,28306186195,30271763329,1,1,1
101,28311186195,30289627216,1,1,1
102,28316186195,30306544275,1,1,1
103,28321186195,30323770386,1,1,1
104,28326186195,30351709107,1,1,1
105,28331186195,30367013931,1,1,1
106,28336186195,30387634662,1,1,1
107,28341186195,30402838040,1,1,1
108,28346186195,30423304186,1,1,1
109,28351186195,30438753059,1,1,1
110,28356186195,30456653512,1,1,1
111,28361186195,30482333745,1,1,1
112,28366186195,30500068319,1,1,1
113,28371186195,30518413854,1,1,1
