index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,233033979542,233055388621,1,1,1
1,233038979542,233061381530,1,1,1
2,233043979542,233066864665,1,1,1
3,233048979542,233072935780,1,1,1
4,233053979542,233080113279,1,1,1
5,233058979542,233086437054,1,1,1
6,233063979542,233092068992,1,1,1
7,233068979542,233097985006,1,1,1
8,233073979542,233103904074,1,1,1
9,233078979542,233109667360,1,1,1
10,233083979542,233116544542,1,1,1
11,233088979542,233122713787,1,1,1
12,233093979542,233128848489,1,1,1
13,233098979542,233136382018,1,1,1
14,233103979542,233142563222,1,1,1
15,233108979542,233149080332,1,1,1
16,233113979542,233155114206,1,1,1
17,233118979542,233161713958,1,1,1
18,233123979542,233167692006,1,1,1
19,233128979542,233173936947,1,1,1
20,233133979542,233179663864,1,1,1
21,233138979542,233185927229,1,1,1
22,233143979542,233191865583,1,1,1
23,233148979542,233197440286,1,1,1
24,233153979542,233203020844,1,1,1
25,233158979542,233209349636,1,1,1
26,233163979542,233214993623,1,1,1
27,233168979542,233221482252,1,1,1
28,233173979542,233227828422,1,1,1
29,233178979542,233233933313,1,1,1
30,233183979542,233239571567,1,1,1
31,233188979542,233245759312,1,1,1
32,233193979542,233251295497,1,1,1
33,233198979542,233257540568,1,1,1
34,233203979542,233264070526,1,1,1
35,233208979542,233270561581,1,1,1
36,233213979542,233277137813,1,1,1
37,233218979542,233283457373,1,1,1
38,233223979542,233289727507,1,1,1
39,233228979542,233296769820,1,1,1
40,233233979542,233302629408,1,1,1
41,233238979542,233308472072,1,1,1
42,233243979542,233314522568,1,1,1
43,233248979542,233320249345,1,1,1
44,233253979542,233326371439,1,1,1
45,233258979542,233332243202,1,1,1
46,233263979542,233337866338,1,1,1
47,233268979542,233343968535,1,1,1
48,233273979542,233350082350,1,1,1
49,233278979542,233356136061,1,1,1
50,233283979542,233362538973,1,1,1
51,233288979542,233367967845,1,1,1
52,233293979542,233373495181,1,1,1
53,233298979542,233379963205,1,1,1
54,233303979542,233385850462,1,1,1
55,233308979542,233392533265,1,1,1
56,233313979542,233398542615,1,1,1
57,233318979542,233404471957,1,1,1
58,233323979542,233410527751,1,1,1
59,233328979542,233416530993,1,1,1
60,233333979542,233422199160,1,1,1
61,233338979542,233428088938,1,1,1
62,233343979542,233435737495,1,1,1
63,233348979542,233442468515,1,1,1
64,233353979542,233448280839,1,1,1
65,233358979542,233454655865,1,1,1
66,233363979542,233460453719,1,1,1
67,233368979542,233466364906,1,1,1
68,233373979542,233471990365,1,1,1
69,233378979542,233477593545,1,1,1
70,233383979542,233484095634,1,1,1
71,233388979542,233490109581,1,1,1
72,233393979542,233496727258,1,1,1
73,233398979542,233502354289,1,1,1
74,233403979542,233507922040,1,1,1
75,233408979542,233514044724,1,1,1
76,233413979542,233519590265,1,1,1
77,233418979542,233525428643,1,1,1
78,233423979542,233531767761,1,1,1
79,233428979542,233537223100,1,1,1
80,233433979542,233543045056,1,1,1
81,233438979542,233548822672,1,1,1
82,233443979542,233554293381,1,1,1
83,233448979542,233560310301,1,1,1
84,233453979542,233565729891,1,1,1
85,233458979542,233571520334,1,1,1
86,233463979542,233577682032,1,1,1
87,233468979542,233583452037,1,1,1
88,233473979542,233589359970,1,1,1
89,233478979542,233595199600,1,1,1
90,233483979542,233600999987,1,1,1
91,233488979542,233606990893,1,1,1
92,233493979542,233612858030,1,1,1
93,233498979542,233618510887,1,1,1
94,233503979542,233624463990,1,1,1
95,233508979542,233630180183,1,1,1
96,233513979542,233635751098,1,1,1
97,233518979542,233641618086,1,1,1
98,233523979542,233646679438,1,1,1
99,233528979542,233652246318,1,1,1
100,233533979542,233657770340,1,1,1
101,233538979542,233663680035,1,1,1
102,233543979542,233669379354,1,1,1
103,233548979542,233675085693,1,1,1
104,233553979542,233680910664,1,1,1
105,233558979542,233686486956,1,1,1
106,233563979542,233691790789,1,1,1
107,233568979542,233697686565,1,1,1
108,233573979542,233703203256,1,1,1
109,233578979542,233709742176,1,1,1
110,233583979542,233715803708,1,1,1
111,233588979542,233721268068,1,1,1
112,233593979542,233727384084,1,1,1
113,233598979542,233733382289,1,1,1
114,233603979542,233739645714,1,1,1
115,233608979542,233745641426,1,1,1
116,233613979542,233751422627,1,1,1
117,233618979542,233758051349,1,1,1
118,233623979542,233763834452,1,1,1
119,233628979542,233770228254,1,1,1
120,233633979542,233776225459,1,1,1
121,233638979542,233781682099,1,1,1
122,233643979542,233787268925,1,1,1
123,233648979542,233793364723,1,1,1
124,233653979542,233799532289,1,1,1
125,233658979542,233805207435,1,1,1
126,233663979542,233811038154,1,1,1
127,233668979542,233817399655,1,1,1
128,233673979542,233822841783,1,1,1
129,233678979542,233829544843,1,1,1
130,233683979542,233835178807,1,1,1
131,233688979542,233841605561,1,1,1
132,233693979542,233847428270,1,1,1
133,233698979542,233853039537,1,1,1
134,233703979542,233859673551,1,1,1
135,233708979542,233865319335,1,1,1
136,233713979542,233871023527,1,1,1
137,233718979542,233877670932,1,1,1
138,233723979542,233883166763,1,1,1
139,233728979542,233889641317,1,1,1
140,233733979542,233895479959,1,1,1
141,233738979542,233901590995,1,1,1
142,233743979542,233907278783,1,1,1
143,233748979542,233913071958,1,1,1
144,233753979542,233919112276,1,1,1
145,233758979542,233924934636,1,1,1
146,233763979542,233930928995,1,1,1
147,233768979542,233937050491,1,1,1
148,233773979542,233942666962,1,1,1
149,233778979542,233948780299,1,1,1
150,233783979542,233954432086,1,1,1
151,233788979542,233960882900,1,1,1
152,233793979542,233966818782,1,1,1
153,233798979542,233972371410,1,1,1
154,233803979542,233978073850,1,1,1
155,233808979542,233983975915,1,1,1
156,233813979542,233990013661,1,1,1
157,233818979542,233996101517,1,1,1
158,233823979542,234001497337,1,1,1
159,233828979542,234007377203,1,1,1
160,233833979542,234013103142,1,1,1
161,233838979542,234018548963,1,1,1
162,233843979542,234024818999,1,1,1
163,233848979542,234030434458,1,1,1
164,233853979542,234036541340,1,1,1
165,233858979542,234042363682,1,1,1
166,233863979542,234048157017,1,1,1
167,233868979542,234054320956,1,1,1
168,233873979542,234060429127,1,1,1
169,233878979542,234066584050,1,1,1
170,233883979542,234072085624,1,1,1
171,233888979542,234077775885,1,1,1
172,233893979542,234083927687,1,1,1
173,233898979542,234089389958,1,1,1
174,233903979542,234095366744,1,1,1
175,233908979542,234101042682,1,1,1
176,233913979542,234106389702,1,1,1
177,233918979542,234112547506,1,1,1
178,233923979542,234118231222,1,1,1
179,233928979542,234123516391,1,1,1
180,233933979542,234130307914,1,1,1
181,233938979542,234135859351,1,1,1
182,233943979542,234142009478,1,1,1
183,233948979542,234147565489,1,1,1
184,233953979542,234152976421,1,1,1
185,233958979542,234158764202,1,1,1
186,233963979542,234164552543,1,1,1
187,233968979542,234170091740,1,1,1
188,233973979542,234176126793,1,1,1
189,233978979542,234181408969,1,1,1
190,233983979542,234186720710,1,1,1
191,233988979542,234192607572,1,1,1
192,233993979542,234198005774,1,1,1
193,233998979542,234203627398,1,1,1
194,234003979542,234209185591,1,1,1
195,234008979542,234214860219,1,1,1
196,234013979542,234220881081,1,1,1
197,234018979542,234226761607,1,1,1
198,234023979542,234232780377,1,1,1
199,234028979542,234238117959,1,1,1
200,234033979542,234243916568,1,1,1
201,234038979542,234250393154,1,1,1
202,234043979542,234255707496,1,1,1
203,234048979542,234262088323,1,1,1
204,234053979542,234267488486,1,1,1
205,234058979542,234273464743,1,1,1
206,234063979542,234279679522,1,1,1
207,234068979542,234285304119,1,1,1
208,234073979542,234291729892,1,1,1
209,234078979542,234297594695,1,1,1
210,234083979542,234303139918,1,1,1
211,234088979542,234310013557,1,1,1
212,234093979542,234315554537,1,1,1
213,234098979542,234321664381,1,1,1
214,234103979542,234327320213,1,1,1
215,234108979542,234332790206,1,1,1
216,234113979542,234338903741,1,1,1
217,234118979542,234344740582,1,1,1
218,234123979542,234350867471,1,1,1
219,234128979542,234356919808,1,1,1
220,234133979542,234363515210,1,1,1
221,234138979542,234369377652,1,1,1
222,234143979542,234375084656,1,1,1
223,234148979542,234380713427,1,1,1
224,234153979542,234386468681,1,1,1
225,234158979542,234391829064,1,1,1
226,234163979542,234397833200,1,1,1
227,234168979542,234403522949,1,1,1
228,234173979542,234409599117,1,1,1
229,234178979542,234415373468,1,1,1
230,234183979542,234421222548,1,1,1
231,234188979542,234427680667,1,1,1
232,234193979542,234433232734,1,1,1
233,234198979542,234439654654,1,1,1
234,234203979542,234446209604,1,1,1
235,234208979542,234452064610,1,1,1
236,234213979542,234457863329,1,1,1
237,234218979542,234463509574,1,1,1
238,234223979542,234469194360,1,1,1
239,234228979542,234474779895,1,1,1
240,234233979542,234481077354,1,1,1
241,234238979542,234486512416,1,1,1
242,234243979542,234492277357,1,1,1
243,234248979542,234497972652,1,1,1
244,234253979542,234503754608,1,1,1
245,234258979542,0,0,1,0
246,234263979542,0,0,1,0
247,234268979542,0,0,1,0
248,234273979542,0,0,1,0
249,234278979542,0,0,1,0
250,234283979542,0,0,1,0
251,234288979542,0,0,1,0
252,234293979542,0,0,1,0
253,234298979542,0,0,1,0
254,234303979542,0,0,1,0
255,234308979542,0,0,1,0
256,234313979542,0,0,1,0
257,234318979542,0,0,1,0
258,234323979542,0,0,1,0
259,234328979542,0,0,1,0
260,234333979542,0,0,1,0
261,234338979542,0,0,1,0
262,234343979542,0,0,1,0
263,234348979542,0,0,1,0
264,234353979542,0,0,1,0
265,234358979542,0,0,1,0
266,234363979542,0,0,1,0
267,234368979542,0,0,1,0
268,234373979542,0,0,1,0
269,234378979542,0,0,1,0
270,234383979542,0,0,1,0
271,234388979542,0,0,1,0
272,234393979542,0,0,1,0
273,234398979542,0,0,1,0
274,234403979542,0,0,1,0
275,234408979542,0,0,1,0
276,234413979542,0,0,1,0
277,234418979542,0,0,1,0
278,234423979542,0,0,1,0
279,234428979542,0,0,1,0
280,234433979542,0,0,1,0
