index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,226226680392,226239815417,1,1,1
1,226231680392,226246699403,1,1,1
2,226236680392,226253250027,1,1,1
3,226241680392,226259395063,1,1,1
4,226246680392,226265362355,1,1,1
5,226251680392,226271590548,1,1,1
6,226256680392,226278233764,1,1,1
7,226261680392,226283327297,1,1,1
8,226266680392,226290586397,1,1,1
9,226271680392,226298075822,1,1,1
10,226276680392,226303619148,1,1,1
11,226281680392,226309463405,1,1,1
12,226286680392,226316631989,1,1,1
13,226291680392,226322979709,1,1,1
14,226296680392,226328797342,1,1,1
15,226301680392,226334725866,1,1,1
16,226306680392,226340115650,1,1,1
17,226311680392,226345786396,1,1,1
18,226316680392,226353117594,1,1,1
19,226321680392,226358286722,1,1,1
20,226326680392,226364502303,1,1,1
21,226331680392,226370111940,1,1,1
22,226336680392,226375339426,1,1,1
23,226341680392,226383069711,1,1,1
24,226346680392,226388510616,1,1,1
25,226351680392,226394027815,1,1,1
26,226356680392,226400069016,1,1,1
27,226361680392,226406121675,1,1,1
28,226366680392,226413145498,1,1,1
29,226371680392,226419261028,1,1,1
30,226376680392,226425454633,1,1,1
31,226381680392,226433144212,1,1,1
32,226386680392,226438526872,1,1,1
33,226391680392,226444334032,1,1,1
34,226396680392,226450581133,1,1,1
35,226401680392,226458005547,1,1,1
36,226406680392,226464560154,1,1,1
37,226411680392,226471108269,1,1,1
38,226416680392,226478072084,1,1,1
39,226421680392,226485874580,1,1,1
40,226426680392,226491777808,1,1,1
41,226431680392,226498330013,1,1,1
42,226436680392,226504295722,1,1,1
43,226441680392,226510147117,1,1,1
44,226446680392,226516702986,1,1,1
45,226451680392,226523093002,1,1,1
46,226456680392,226529491642,1,1,1
47,226461680392,226535430738,1,1,1
48,226466680392,226541253973,1,1,1
49,226471680392,226548077686,1,1,1
50,226476680392,226554498632,1,1,1
51,226481680392,226560295106,1,1,1
52,226486680392,226570645237,1,1,1
53,226491680392,226578167415,1,1,1
54,226496680392,226585071191,1,1,1
55,226501680392,226594069028,1,1,1
56,226506680392,226600879937,1,1,1
57,226511680392,226608590535,1,1,1
58,226516680392,226614540921,1,1,1
59,226521680392,226620421559,1,1,1
60,226526680392,226626456543,1,1,1
61,226531680392,226633138137,1,1,1
62,226536680392,226638684578,1,1,1
63,226541680392,226644791973,1,1,1
64,226546680392,226653048543,1,1,1
65,226551680392,226658265525,1,1,1
66,226556680392,226663978842,1,1,1
67,226561680392,226669685133,1,1,1
68,226566680392,226675628675,1,1,1
69,226571680392,226683347266,1,1,1
70,226576680392,226689049717,1,1,1
71,226581680392,226694566832,1,1,1
72,226586680392,226700660014,1,1,1
73,226591680392,226706711562,1,1,1
74,226596680392,226713149200,1,1,1
75,226601680392,226719812066,1,1,1
76,226606680392,226725613760,1,1,1
77,226611680392,226731351523,1,1,1
78,226616680392,226738211304,1,1,1
79,226621680392,226743328718,1,1,1
80,226626680392,226748506717,1,1,1
81,226631680392,226754683629,1,1,1
82,226636680392,226760505929,1,1,1
83,226641680392,226768006614,1,1,1
84,226646680392,226774266937,1,1,1
85,226651680392,226779799839,1,1,1
