index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,92808480185,92820885511,1,1,1
1,92813480185,92827083458,1,1,1
2,92818480185,92833311144,1,1,1
3,92823480185,92839884044,1,1,1
4,92828480185,92845297590,1,1,1
5,92833480185,92851495203,1,1,1
6,92838480185,92857183264,1,1,1
7,92843480185,92864899247,1,1,1
8,92848480185,92870461201,1,1,1
9,92853480185,92876677458,1,1,1
10,92858480185,92882370447,1,1,1
11,92863480185,92888560833,1,1,1
12,92868480185,92894861820,1,1,1
13,92873480185,92900249514,1,1,1
14,92878480185,92905860707,1,1,1
15,92883480185,92911890404,1,1,1
16,92888480185,92917759108,1,1,1
17,92893480185,92925037750,1,1,1
18,92898480185,92930262472,1,1,1
19,92903480185,92936090913,1,1,1
20,92908480185,92942162018,1,1,1
21,92913480185,92948182922,1,1,1
22,92918480185,92954985670,1,1,1
23,92923480185,92960975526,1,1,1
24,92928480185,92966801093,1,1,1
25,92933480185,92973205138,1,1,1
26,92938480185,92980000743,1,1,1
27,92943480185,92986253114,1,1,1
28,92948480185,92992700359,1,1,1
29,92953480185,92999943603,1,1,1
30,92958480185,93005499125,1,1,1
31,92963480185,93012016946,1,1,1
32,92968480185,93018587675,1,1,1
33,92973480185,93024888732,1,1,1
34,92978480185,93031250022,1,1,1
35,92983480185,93037185855,1,1,1
36,92988480185,93044946301,1,1,1
37,92993480185,93050276476,1,1,1
38,92998480185,93056406006,1,1,1
39,93003480185,93062096579,1,1,1
40,93008480185,93068381475,1,1,1
41,93013480185,93075340696,1,1,1
42,93018480185,93081519012,1,1,1
43,93023480185,93087368118,1,1,1
44,93028480185,93094859394,1,1,1
45,93033480185,93100275693,1,1,1
46,93038480185,93106492816,1,1,1
47,93043480185,93112527879,1,1,1
48,93048480185,93120014482,1,1,1
49,93053480185,93126283739,1,1,1
50,93058480185,93132427551,1,1,1
51,93063480185,93139935100,1,1,1
52,93068480185,93145323007,1,1,1
53,93073480185,93151736712,1,1,1
54,93078480185,93158597807,1,1,1
55,93083480185,93165431502,1,1,1
56,93088480185,93172132268,1,1,1
57,93093480185,93179918031,1,1,1
58,93098480185,93185359116,1,1,1
59,93103480185,93191706196,1,1,1
60,93108480185,93199901648,1,1,1
61,93113480185,93206491302,1,1,1
62,93118480185,93213403384,1,1,1
63,93123480185,93219855042,1,1,1
64,93128480185,93226602149,1,1,1
65,93133480185,93233338113,1,1,1
66,93138480185,93240573558,1,1,1
67,93143480185,93246939703,1,1,1
68,93148480185,93254994324,1,1,1
69,93153480185,93261528589,1,1,1
70,93158480185,93267764175,1,1,1
71,93163480185,93275091815,1,1,1
72,93168480185,93281694223,1,1,1
73,93173480185,93287953258,1,1,1
74,93178480185,93294812424,1,1,1
75,93183480185,93301103660,1,1,1
76,93188480185,93307427130,1,1,1
77,93193480185,93314828935,1,1,1
78,93198480185,93320420047,1,1,1
79,93203480185,93326467594,1,1,1
80,93208480185,93332804492,1,1,1
81,93213480185,93340214528,1,1,1
82,93218480185,93346961546,1,1,1
83,93223480185,93353370367,1,1,1
84,93228480185,93360104672,1,1,1
85,93233480185,93366400874,1,1,1
86,93238480185,93372244159,1,1,1
87,93243480185,93379990744,1,1,1
88,93248480185,93385194651,1,1,1
89,93253480185,93391416931,1,1,1
90,93258480185,93398038023,1,1,1
91,93263480185,93404939834,1,1,1
92,93268480185,93411138192,1,1,1
93,93273480185,93417285623,1,1,1
94,93278480185,93425047497,1,1,1
95,93283480185,93431111044,1,1,1
96,93288480185,93437402632,1,1,1
97,93293480185,93444885758,1,1,1
98,93298480185,93451269844,1,1,1
99,93303480185,93457363694,1,1,1
100,93308480185,93463599934,1,1,1
101,93313480185,93471119362,1,1,1
102,93318480185,93477471859,1,1,1
103,93323480185,93484902500,1,1,1
104,93328480185,93490795385,1,1,1
105,93333480185,93497375139,1,1,1
106,93338480185,93504844395,1,1,1
107,93343480185,93511146427,1,1,1
108,93348480185,93516864771,1,1,1
109,93353480185,93523437702,1,1,1
110,93358480185,93530280875,1,1,1
111,93363480185,93536237271,1,1,1
112,93368480185,93542331826,1,1,1
113,93373480185,93549808307,1,1,1
114,93378480185,93555299234,1,1,1
115,93383480185,93561257006,1,1,1
116,93388480185,93567493508,1,1,1
117,93393480185,93575011047,1,1,1
118,93398480185,93581182619,1,1,1
119,93403480185,93587428900,1,1,1
120,93408480185,93594792412,1,1,1
121,93413480185,93601111751,1,1,1
122,93418480185,93607885424,1,1,1
123,93423480185,93614828694,1,1,1
124,93428480185,93621138736,1,1,1
125,93433480185,93627289684,1,1,1
126,93438480185,93634881740,1,1,1
127,93443480185,93640309376,1,1,1
128,93448480185,93646976029,1,1,1
129,93453480185,93653455225,1,1,1
130,93458480185,93659884490,1,1,1
131,93463480185,93666410331,1,1,1
132,93468480185,93672401735,1,1,1
133,93473480185,93678356291,1,1,1
134,93478480185,93684917593,1,1,1
135,93483480185,93690308181,1,1,1
136,93488480185,93697282489,1,1,1
137,93493480185,93703186992,1,1,1
138,93498480185,93709939921,1,1,1
139,93503480185,93715969295,1,1,1
140,93508480185,93722051770,1,1,1
141,93513480185,93729816837,1,1,1
142,93518480185,93735375727,1,1,1
143,93523480185,93741947702,1,1,1
144,93528480185,93749845824,1,1,1
145,93533480185,93756359304,1,1,1
146,93538480185,93762861064,1,1,1
147,93543480185,93769952892,1,1,1
148,93548480185,93775403505,1,1,1
149,93553480185,93782025111,1,1,1
150,93558480185,93788451660,1,1,1
151,93563480185,93795142799,1,1,1
152,93568480185,93801348603,1,1,1
153,93573480185,93807554760,1,1,1
154,93578480185,93814986752,1,1,1
155,93583480185,93820308488,1,1,1
156,93588480185,93826479300,1,1,1
157,93593480185,93832565638,1,1,1
158,93598480185,93839814806,1,1,1
159,93603480185,93846635118,1,1,1
160,93608480185,93853046402,1,1,1
161,93613480185,93860191520,1,1,1
162,93618480185,93866073795,1,1,1
163,93623480185,93871945043,1,1,1
164,93628480185,93878510147,1,1,1
165,93633480185,93884967335,1,1,1
166,93638480185,93891309402,1,1,1
167,93643480185,93898163866,1,1,1
168,93648480185,93904918789,1,1,1
169,93653480185,93910480809,1,1,1
170,93658480185,93916456358,1,1,1
171,93663480185,93923358924,1,1,1
172,93668480185,93929899258,1,1,1
173,93673480185,93935506569,1,1,1
174,93678480185,93941532360,1,1,1
175,93683480185,93947561566,1,1,1
176,93688480185,93954846893,1,1,1
177,93693480185,93960564089,1,1,1
178,93698480185,93967005748,1,1,1
179,93703480185,93973264046,1,1,1
180,93708480185,93980124646,1,1,1
181,93713480185,93986239269,1,1,1
182,93718480185,93991985806,1,1,1
183,93723480185,93999852773,1,1,1
184,93728480185,94005449960,1,1,1
185,93733480185,94011860993,1,1,1
186,93738480185,94017933520,1,1,1
187,93743480185,94024950162,1,1,1
188,93748480185,94031581195,1,1,1
189,93753480185,94037626332,1,1,1
190,93758480185,94045323599,1,1,1
191,93763480185,94051391526,1,1,1
192,93768480185,94057345078,1,1,1
193,93773480185,94065043521,1,1,1
194,93778480185,94071074564,1,1,1
195,93783480185,94077567179,1,1,1
196,93788480185,94085081578,1,1,1
197,93793480185,94091567612,1,1,1
198,93798480185,94098277647,1,1,1
199,93803480185,94104910088,1,1,1
200,93808480185,94110289753,1,1,1
