index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,10933587987,10965867618,4,4,1
1,10943587987,10982339541,4,4,1
2,10953587987,10998609203,4,4,1
3,10963587987,11015816466,4,4,1
4,10973587987,11034169047,4,4,1
5,10983587987,11050798833,4,4,1
6,10993587987,11072424628,4,4,1
7,11003587987,11088302674,4,4,1
8,11013587987,11104009611,4,4,1
9,11023587987,11120582727,4,4,1
10,11033587987,11137062356,4,4,1
11,11043587987,11155033084,4,4,1
12,11053587987,11171747851,4,4,1
13,11063587987,11191938635,4,4,1
14,11073587987,11209386360,4,4,1
15,11083587987,11225737179,4,4,1
16,11093587987,11241690748,4,4,1
17,11103587987,11260016761,4,4,1
18,11113587987,11277014087,4,4,1
19,11123587987,11298120937,4,4,1
20,11133587987,11310346232,4,4,1
21,11143587987,11328164559,4,4,1
22,11153587987,11346221559,4,4,1
23,11163587987,11362148325,4,4,1
24,11173587987,11378079562,4,4,1
25,11183587987,11395876352,4,4,1
26,11193587987,11412646724,4,4,1
27,11203587987,11429988023,4,4,1
28,11213587987,11447627974,4,4,1
29,11223587987,11467008757,4,4,1
30,11233587987,11483439252,4,4,1
31,11243587987,11499923319,4,4,1
32,11253587987,11517127666,4,4,1
33,11263587987,11533476744,4,4,1
34,11273587987,11549991489,4,4,1
35,11283587987,11565477909,4,4,1
36,11293587987,11580359598,4,4,1
37,11303587987,11598692544,4,4,1
38,11313587987,11614914562,4,4,1
39,11323587987,11629545806,4,4,1
40,11333587987,11645224281,4,4,1
41,11343587987,11661657595,4,4,1
42,11353587987,11678271047,4,4,1
43,11363587987,11695198601,4,4,1
44,11373587987,11710946699,4,4,1
45,11383587987,11727058325,4,4,1
46,11393587987,11743691562,4,4,1
47,11403587987,11759655445,4,4,1
48,11413587987,11775137842,4,4,1
49,11423587987,11795550135,4,4,1
50,11433587987,11814876291,4,4,1
51,11443587987,11830701662,4,4,1
52,11453587987,11846510185,4,4,1
53,11463587987,11861764005,4,4,1
54,11473587987,11877364403,4,4,1
55,11483587987,11892868639,4,4,1
56,11493587987,11907804251,4,4,1
57,11503587987,11924162305,4,4,1
58,11513587987,11939626323,4,4,1
59,11523587987,11955539344,4,4,1
60,11533587987,11971298976,4,4,1
61,11543587987,11987093129,4,4,1
62,11553587987,12003554421,4,4,1
63,11563587987,12020517256,4,4,1
64,11573587987,12039409665,4,4,1
65,11583587987,12055017595,4,4,1
66,11593587987,12070997650,4,4,1
67,11603587987,12088339974,4,4,1
68,11613587987,12103559267,4,4,1
69,11623587987,12121166900,4,4,1
70,11633587987,12137466085,4,4,1
71,11643587987,12154041492,4,4,1
72,11653587987,12170118568,4,4,1
73,11663587987,12185377271,4,4,1
74,11673587987,12201899399,4,4,1
75,11683587987,12218371469,4,4,1
76,11693587987,12234560862,4,4,1
77,11703587987,12249795148,4,4,1
78,11713587987,12265286720,4,4,1
79,11723587987,12280632155,4,4,1
80,11733587987,12296515764,4,4,1
81,11743587987,12312908792,4,4,1
82,11753587987,12328748022,4,4,1
83,11763587987,12344061671,4,4,1
84,11773587987,12360020479,4,4,1
85,11783587987,12375846072,4,4,1
86,11793587987,12386947861,4,4,1
87,11803587987,12402945373,4,4,1
88,11813587987,12419453394,4,4,1
89,11823587987,12437098134,4,4,1
90,11833587987,12451485415,4,4,1
91,11843587987,12468443959,4,4,1
92,11853587987,12485634435,4,4,1
93,11863587987,12503284103,4,4,1
94,11873587987,12521521529,4,4,1
95,11883587987,12540923499,4,4,1
96,11893587987,12558042949,4,4,1
97,11903587987,12576389162,4,4,1
98,11913587987,12594709469,4,4,1
99,11923587987,12612190989,4,4,1
100,11933587987,12629968440,4,4,1
101,11943587987,12650029305,4,4,1
102,11953587987,12668494290,4,4,1
103,11963587987,12686195958,4,4,1
104,11973587987,12703809916,4,4,1
105,11983587987,12720448223,4,4,1
106,11993587987,12739989510,4,4,1
107,12003587987,12756132293,4,4,1
108,12013587987,12773037348,4,4,1
109,12023587987,12790371234,4,4,1
110,12033587987,12810081595,4,4,1
111,12043587987,12828327015,4,4,1
112,12053587987,12843888104,4,4,1
113,12063587987,12860581800,4,4,1
114,12073587987,12877541629,4,4,1
115,12083587987,12894344535,4,4,1
116,12093587987,12908816349,4,4,1
117,12103587987,12926968307,4,4,1
118,12113587987,12943575111,4,4,1
119,12123587987,12962428791,4,4,1
120,12133587987,12977261658,4,4,1
121,12143587987,12993390575,4,4,1
122,12153587987,13009579655,4,4,1
123,12163587987,13025740325,4,4,1
124,12173587987,13039565297,4,4,1
125,12183587987,13055213229,4,4,1
126,12193587987,13070118977,4,4,1
127,12203587987,13085636281,4,4,1
128,12213587987,13102704557,4,4,1
129,12223587987,13118498844,4,4,1
130,12233587987,13134125773,4,4,1
131,12243587987,13154340287,4,4,1
132,12253587987,13168645404,4,4,1
133,12263587987,13186354819,4,4,1
134,12273587987,13202541069,4,4,1
135,12283587987,13222083282,4,4,1
136,12293587987,13238549158,4,4,1
137,12303587987,13254299158,4,4,1
138,12313587987,13270161143,4,4,1
139,12323587987,13285814964,4,4,1
140,12333587987,13303128678,4,4,1
141,12343587987,13319688301,4,4,1
142,12353587987,13335625706,4,4,1
143,12363587987,13351008181,4,4,1
144,12373587987,13372256403,4,4,1
145,12383587987,13386744251,4,4,1
146,12393587987,13402666241,4,4,1
147,12403587987,13418692972,4,4,1
148,12413587987,13434461663,4,4,1
149,12423587987,13449129622,4,4,1
150,12433587987,13465249366,4,4,1
151,12443587987,13481898214,4,4,1
152,12453587987,13496685815,4,4,1
153,12463587987,13511836571,4,4,1
154,12473587987,13525889837,4,4,1
155,12483587987,13541812067,4,4,1
156,12493587987,13557418184,4,4,1
157,12503587987,13573680385,4,4,1
158,12513587987,13589602324,4,4,1
159,12523587987,13605782464,4,4,1
160,12533587987,13621588338,4,4,1
161,12543587987,13637292142,4,4,1
162,12553587987,13660193143,4,4,1
163,12563587987,13676988597,4,4,1
164,12573587987,13691123673,4,4,1
