index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal,accepted,terminal,enqueue_returned_ns,result_observed_ns,sync_started_ns,synced_ns,published_ns
0,19965716573,19966513611,19966516898,19966516928,19970575655,0,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,0,1,1,0,0,0,0,0
1,20165716573,20165847051,20165850728,20165850748,20167770373,0,1,3,1,3,3,200,200,200,103,3,3405582928,0,1,0,1,1,0,0,0,0,0
2,20365716573,20365854323,20365859423,20365859473,20367934515,0,1,4,1,4,4,400,400,400,104,4,3405386328,0,1,0,1,1,0,0,0,0,0
3,20565716573,20565827347,20565830283,20565830303,20567934002,0,1,5,1,5,5,600,600,600,105,5,3405451864,0,1,0,1,1,0,0,0,0,0
4,20765716573,20765819269,20765822646,20765822666,20767704158,0,1,6,1,6,6,800,800,800,106,6,3405255256,0,1,0,1,1,0,0,0,0,0
5,20965716573,20965807594,20965811001,20965811031,20967317535,0,1,7,1,7,7,1000,1000,1000,107,7,3405320792,0,1,0,1,1,0,0,0,0,0
6,21165716573,21165858576,21165862252,21165862282,21167339165,0,1,8,1,8,8,1200,1200,1200,108,8,3405124176,0,1,0,1,1,0,0,0,0,0
7,21365716573,21365827821,21365831257,21365831287,21367271749,0,1,9,1,9,9,1400,1400,1400,109,9,3405189712,0,1,0,1,1,0,0,0,0,0
8,21565716573,21565826186,21565829552,21565829572,21567304070,0,1,10,1,10,10,1600,1600,1600,110,10,3404993104,0,1,0,1,1,0,0,0,0,0
9,21765716573,21765841250,21765844485,21765844505,21767266385,0,1,11,1,11,11,1800,1800,1800,111,11,3405058640,0,1,0,1,1,0,0,0,0,0
