index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,15424783055,15447888072,4,4,1
1,15434783055,15461331015,4,4,1
2,15444783055,15476516432,4,4,1
3,15454783055,15492483511,4,4,1
4,15464783055,15506509884,4,4,1
5,15474783055,15522062333,4,4,1
6,15484783055,15543920930,4,4,1
7,15494783055,15557125732,4,4,1
8,15504783055,15571683592,4,4,1
9,15514783055,15588467255,4,4,1
10,15524783055,15606976469,4,4,1
11,15534783055,15622742066,4,4,1
12,15544783055,15636596466,4,4,1
13,15554783055,15652820255,4,4,1
14,15564783055,15668402234,4,4,1
15,15574783055,15682951191,4,4,1
16,15584783055,15700550333,4,4,1
17,15594783055,15714855197,4,4,1
18,15604783055,15730187857,4,4,1
19,15614783055,15746665774,4,4,1
20,15624783055,15762081713,4,4,1
21,15634783055,15781449396,4,4,1
22,15644783055,15794885885,4,4,1
23,15654783055,15811227404,4,4,1
24,15664783055,15826672070,4,4,1
25,15674783055,15842296618,4,4,1
26,15684783055,15857780230,4,4,1
27,15694783055,15874590142,4,4,1
28,15704783055,15892062791,4,4,1
29,15714783055,15911041198,4,4,1
30,15724783055,15927012053,4,4,1
31,15734783055,15946412087,4,4,1
32,15744783055,15961515437,4,4,1
33,15754783055,15977845242,4,4,1
34,15764783055,15993111571,4,4,1
35,15774783055,16008259879,4,4,1
36,15784783055,16023617650,4,4,1
37,15794783055,16043231593,4,4,1
38,15804783055,16058884762,4,4,1
39,15814783055,16078699153,4,4,1
40,15824783055,16092841047,4,4,1
41,15834783055,16108783221,4,4,1
42,15844783055,16123083714,4,4,1
43,15854783055,16139021906,4,4,1
44,15864783055,16156231735,4,4,1
45,15874783055,16171289586,4,4,1
46,15884783055,16187977811,4,4,1
47,15894783055,16204129580,4,4,1
48,15904783055,16220677776,4,4,1
49,15914783055,16236316798,4,4,1
50,15924783055,16251240982,4,4,1
51,15934783055,16267791424,4,4,1
52,15944783055,16283387918,4,4,1
53,15954783055,16299380265,4,4,1
54,15964783055,16316360626,4,4,1
55,15974783055,16331151301,4,4,1
56,15984783055,16346472404,4,4,1
57,15994783055,16366603310,4,4,1
58,16004783055,16380482244,4,4,1
59,16014783055,16396307185,4,4,1
60,16024783055,16413896196,4,4,1
61,16034783055,16430827616,4,4,1
62,16044783055,16447762155,4,4,1
63,16054783055,16462226073,4,4,1
64,16064783055,16477830141,4,4,1
65,16074783055,16496488973,4,4,1
66,16084783055,16512177024,4,4,1
67,16094783055,16527976863,4,4,1
68,16104783055,16543871380,4,4,1
69,16114783055,16558380736,4,4,1
70,16124783055,16576216626,4,4,1
71,16134783055,16592274105,4,4,1
72,16144783055,16608545275,4,4,1
73,16154783055,16624569026,4,4,1
74,16164783055,16639289614,4,4,1
75,16174783055,16656211693,4,4,1
76,16184783055,16672113644,4,4,1
77,16194783055,16690648500,4,4,1
78,16204783055,16706874201,4,4,1
79,16214783055,16721147625,4,4,1
80,16224783055,16736714411,4,4,1
81,16234783055,16751827624,4,4,1
82,16244783055,16768605531,4,4,1
83,16254783055,16786494653,4,4,1
84,16264783055,16801527522,4,4,1
85,16274783055,16818027652,4,4,1
86,16284783055,16842213785,4,4,1
87,16294783055,16858544027,4,4,1
88,16304783055,16874788962,4,4,1
89,16314783055,16891225263,4,4,1
90,16324783055,16906587409,4,4,1
