index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,14186178174,14209046364,4,4,1
1,14196178174,14229942447,4,4,1
2,14206178174,14243439218,4,4,1
3,14216178174,14258343560,4,4,1
4,14226178174,14272676340,4,4,1
5,14236178174,14288720148,4,4,1
6,14246178174,14304541449,4,4,1
7,14256178174,14321754230,4,4,1
8,14266178174,14337697719,4,4,1
9,14276178174,14355027859,4,4,1
10,14286178174,14370844569,4,4,1
11,14296178174,14387726175,4,4,1
12,14306178174,14405692389,4,4,1
13,14316178174,14423056496,4,4,1
14,14326178174,14439784275,4,4,1
15,14336178174,14455098902,4,4,1
16,14346178174,14471589523,4,4,1
17,14356178174,14485040465,4,4,1
18,14366178174,14502490434,4,4,1
19,14376178174,14523107510,4,4,1
20,14386178174,14538324548,4,4,1
21,14396178174,14557484785,4,4,1
22,14406178174,14583459150,4,4,1
23,14416178174,14598293883,4,4,1
24,14426178174,14612362617,4,4,1
25,14436178174,14628544002,4,4,1
26,14446178174,14645364159,4,4,1
27,14456178174,14661840051,4,4,1
28,14466178174,14678157505,4,4,1
29,14476178174,14695414826,4,4,1
30,14486178174,14713168921,4,4,1
31,14496178174,14729167408,4,4,1
32,14506178174,14744714382,4,4,1
33,14516178174,14760166478,4,4,1
34,14526178174,14774719195,4,4,1
35,14536178174,14791374244,4,4,1
36,14546178174,14807586119,4,4,1
37,14556178174,14825628302,4,4,1
38,14566178174,14841990163,4,4,1
39,14576178174,14858040300,4,4,1
40,14586178174,14873680933,4,4,1
41,14596178174,14895189438,4,4,1
42,14606178174,14912655406,4,4,1
43,14616178174,14925729963,4,4,1
44,14626178174,14950054343,4,4,1
45,14636178174,14964824295,4,4,1
46,14646178174,14982749937,4,4,1
47,14656178174,14998222422,4,4,1
48,14666178174,15013401181,4,4,1
49,14676178174,15028239744,4,4,1
50,14686178174,15044433029,4,4,1
51,14696178174,15060945291,4,4,1
52,14706178174,15075755924,4,4,1
53,14716178174,15092800778,4,4,1
54,14726178174,15109488887,4,4,1
55,14736178174,15125477007,4,4,1
56,14746178174,15141954756,4,4,1
57,14756178174,15158385799,4,4,1
58,14766178174,15175191806,4,4,1
59,14776178174,15190827911,4,4,1
60,14786178174,15204627864,4,4,1
61,14796178174,15219626235,4,4,1
62,14806178174,15235391566,4,4,1
63,14816178174,15250673033,4,4,1
64,14826178174,15265767844,4,4,1
65,14836178174,15283140874,4,4,1
66,14846178174,15299606437,4,4,1
67,14856178174,15315615638,4,4,1
68,14866178174,15332148956,4,4,1
69,14876178174,15348290185,4,4,1
70,14886178174,15364513822,4,4,1
71,14896178174,15381291359,4,4,1
72,14906178174,15395844884,4,4,1
73,14916178174,15410760280,4,4,1
74,14926178174,15421729627,4,4,1
75,14936178174,15443198619,4,4,1
76,14946178174,15456215059,4,4,1
77,14956178174,15472438504,4,4,1
78,14966178174,15488863371,4,4,1
79,14976178174,15505824350,4,4,1
80,14986178174,15522563487,4,4,1
81,14996178174,15538682876,4,4,1
82,15006178174,15554515527,4,4,1
83,15016178174,15570213299,4,4,1
84,15026178174,15586017825,4,4,1
85,15036178174,15600341494,4,4,1
86,15046178174,15614739315,4,4,1
87,15056178174,15631208441,4,4,1
88,15066178174,15647765144,4,4,1
89,15076178174,15663707001,4,4,1
90,15086178174,15680226978,4,4,1
91,15096178174,15697734643,4,4,1
92,15106178174,15720252487,4,4,1
93,15116178174,15733603219,4,4,1
94,15126178174,15750891360,4,4,1
95,15136178174,15769609287,4,4,1
96,15146178174,15784681282,4,4,1
97,15156178174,15802204803,4,4,1
98,15166178174,15819724291,4,4,1
99,15176178174,15835320002,4,4,1
100,15186178174,15852271453,4,4,1
101,15196178174,15868603747,4,4,1
102,15206178174,15879667241,4,4,1
103,15216178174,15897579853,4,4,1
104,15226178174,15922022964,4,4,1
105,15236178174,15938080185,4,4,1
106,15246178174,15953584359,4,4,1
107,15256178174,15979049858,4,4,1
108,15266178174,15992995346,4,4,1
109,15276178174,16012794270,4,4,1
110,15286178174,16030584902,4,4,1
111,15296178174,16048011385,4,4,1
112,15306178174,16064142817,4,4,1
113,15316178174,16080363892,4,4,1
114,15326178174,16097753792,4,4,1
115,15336178174,16114608809,4,4,1
116,15346178174,16131965123,4,4,1
117,15356178174,16148156340,4,4,1
118,15366178174,16165028025,4,4,1
119,15376178174,16181162201,4,4,1
120,15386178174,16198205167,4,4,1
121,15396178174,16215745722,4,4,1
122,15406178174,16233158125,4,4,1
