index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,22415456320,22419656197,1,1,1
1,22435456320,22437460368,1,1,1
2,22455456320,22457610994,1,1,1
3,22475456320,22477955965,1,1,1
4,22495456320,22497493231,1,1,1
5,22515456320,22517114888,1,1,1
6,22535456320,22536993572,1,1,1
7,22555456320,22556929609,1,1,1
8,22575456320,22577442863,1,1,1
9,22595456320,22597037963,1,1,1
10,22615456320,22616980625,1,1,1
11,22635456320,22636937509,1,1,1
12,22655456320,22656994414,1,1,1
13,22675456320,22677585646,1,1,1
14,22695456320,22697127254,1,1,1
15,22715456320,22716964807,1,1,1
16,22735456320,22736993971,1,1,1
17,22755456320,22756902347,1,1,1
18,22775456320,22777468270,1,1,1
19,22795456320,22797069985,1,1,1
20,22815456320,22817156202,1,1,1
21,22835456320,22836856300,1,1,1
22,22855456320,22856911698,1,1,1
23,22875456320,22877261204,1,1,1
24,22895456320,22897255328,1,1,1
25,22915456320,22916966413,1,1,1
26,22935456320,22936930253,1,1,1
27,22955456320,22956957839,1,1,1
28,22975456320,22976978441,1,1,1
29,22995456320,22997107796,1,1,1
30,23015456320,23017152057,1,1,1
31,23035456320,23036898423,1,1,1
32,23055456320,23056888246,1,1,1
33,23075456320,23077036248,1,1,1
34,23095456320,23097306980,1,1,1
35,23115456320,23116990755,1,1,1
36,23135456320,23136916681,1,1,1
37,23155456320,23156943061,1,1,1
38,23175456320,23176958210,1,1,1
39,23195456320,23197298632,1,1,1
40,23215456320,23216937270,1,1,1
41,23235456320,23236969361,1,1,1
42,23255456320,23256916000,1,1,1
43,23275456320,23276941160,1,1,1
44,23295456320,23297101245,1,1,1
45,23315456320,23316936032,1,1,1
46,23335456320,23336987088,1,1,1
47,23355456320,23357189864,1,1,1
48,23375456320,23377042582,1,1,1
49,23395456320,23397361448,1,1,1
50,23415456320,23417035766,1,1,1
51,23435456320,23436967317,1,1,1
52,23455456320,23456954406,1,1,1
53,23475456320,23477101433,1,1,1
54,23495456320,23497387915,1,1,1
55,23515456320,23517077169,1,1,1
56,23535456320,23537000473,1,1,1
57,23555456320,23556877479,1,1,1
58,23575456320,23576999463,1,1,1
59,23595456320,23597117671,1,1,1
60,23615456320,23616956576,1,1,1
61,23635456320,23637038038,1,1,1
62,23655456320,23656955878,1,1,1
63,23675456320,23676951777,1,1,1
64,23695456320,23697029272,1,1,1
65,23715456320,23717014473,1,1,1
66,23735456320,23737108602,1,1,1
67,23755456320,23756936780,1,1,1
68,23775456320,23776918847,1,1,1
69,23795456320,23796961113,1,1,1
70,23815456320,23817276274,1,1,1
71,23835456320,23836984172,1,1,1
72,23855456320,23856977600,1,1,1
73,23875456320,23876948587,1,1,1
74,23895456320,23896938902,1,1,1
75,23915456320,23917347832,1,1,1
76,23935456320,23936933371,1,1,1
77,23955456320,23956934605,1,1,1
78,23975456320,23977084746,1,1,1
79,23995456320,23996951565,1,1,1
80,24015456320,24017118651,1,1,1
81,24035456320,24037145218,1,1,1
82,24055456320,24056984897,1,1,1
83,24075456320,24076948160,1,1,1
84,24095456320,24097076965,1,1,1
85,24115456320,24117281048,1,1,1
86,24135456320,24137132258,1,1,1
87,24155456320,24156950048,1,1,1
88,24175456320,24177023010,1,1,1
89,24195456320,24196900021,1,1,1
90,24215456320,24217635801,1,1,1
91,24235456320,24236979490,1,1,1
92,24255456320,24256997505,1,1,1
93,24275456320,24276948758,1,1,1
94,24295456320,24296970889,1,1,1
95,24315456320,24317409774,1,1,1
96,24335456320,24337002279,1,1,1
97,24355456320,24357118599,1,1,1
98,24375456320,24376973224,1,1,1
99,24395456320,24397043086,1,1,1
