index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,57605120227,57615307606,1,1,1
1,57625120227,57634691884,1,1,1
2,57645120227,57654432908,1,1,1
3,57665120227,57674128852,1,1,1
4,57685120227,57694536241,1,1,1
5,57705120227,57713804552,1,1,1
6,57725120227,57733762352,1,1,1
7,57745120227,57754276131,1,1,1
8,57765120227,57773222433,1,1,1
9,57785120227,57793328860,1,1,1
10,57805120227,57813720931,1,1,1
11,57825120227,57833798556,1,1,1
12,57845120227,57852880252,1,1,1
13,57865120227,57873527954,1,1,1
14,57885120227,57893410867,1,1,1
15,57905120227,57913824420,1,1,1
16,57925120227,57933860492,1,1,1
17,57945120227,57953415170,1,1,1
18,57965120227,57973782960,1,1,1
19,57985120227,57993680154,1,1,1
20,58005120227,58014761493,1,1,1
21,58025120227,58034652744,1,1,1
22,58045120227,58053025312,1,1,1
23,58065120227,58073919803,1,1,1
24,58085120227,58094948349,1,1,1
25,58105120227,58114974703,1,1,1
26,58125120227,58134615611,1,1,1
27,58145120227,58154477937,1,1,1
28,58165120227,58175056373,1,1,1
29,58185120227,58198858414,1,1,1
30,58205120227,58215892912,1,1,1
31,58225120227,58237028352,1,1,1
32,58245120227,58254456948,1,1,1
33,58265120227,58273767467,1,1,1
34,58285120227,58294375459,1,1,1
35,58305120227,58313549538,1,1,1
36,58325120227,58334055098,1,1,1
37,58345120227,58353661008,1,1,1
38,58365120227,58373517735,1,1,1
39,58385120227,58394351802,1,1,1
40,58405120227,58414075703,1,1,1
41,58425120227,58434397579,1,1,1
42,58445120227,58453189685,1,1,1
43,58465120227,58472519966,1,1,1
44,58485120227,58492592934,1,1,1
45,58505120227,58512956622,1,1,1
46,58525120227,58532827273,1,1,1
47,58545120227,58553861450,1,1,1
48,58565120227,58573072579,1,1,1
49,58585120227,58592459471,1,1,1
50,58605120227,58612577275,1,1,1
51,58625120227,58633116534,1,1,1
52,58645120227,58653874361,1,1,1
53,58665120227,58672833758,1,1,1
54,58685120227,58691917614,1,1,1
55,58705120227,58711775738,1,1,1
56,58725120227,58732833893,1,1,1
57,58745120227,58752731178,1,1,1
58,58765120227,58772991127,1,1,1
59,58785120227,58792530680,1,1,1
60,58805120227,58811904763,1,1,1
61,58825120227,58832478987,1,1,1
62,58845120227,58852621794,1,1,1
63,58865120227,58872508203,1,1,1
64,58885120227,58891869065,1,1,1
65,58905120227,58912235057,1,1,1
66,58925120227,58931990942,1,1,1
67,58945120227,58952776839,1,1,1
68,58965120227,58972234759,1,1,1
69,58985120227,58991917996,1,1,1
70,59005120227,59011734715,1,1,1
71,59025120227,59032303939,1,1,1
72,59045120227,59052443587,1,1,1
73,59065120227,59073078082,1,1,1
74,59085120227,59092285861,1,1,1
75,59105120227,59111793154,1,1,1
76,59125120227,59132013550,1,1,1
77,59145120227,59153082441,1,1,1
78,59165120227,59173080295,1,1,1
79,59185120227,59192653978,1,1,1
80,59205120227,59212422994,1,1,1
81,59225120227,59232274989,1,1,1
82,59245120227,59253834995,1,1,1
83,59265120227,59273865662,1,1,1
84,59285120227,59293866505,1,1,1
85,59305120227,59312879193,1,1,1
86,59325120227,59332827341,1,1,1
87,59345120227,59352796550,1,1,1
88,59365120227,59373000785,1,1,1
89,59385120227,59392801528,1,1,1
90,59405120227,59412441607,1,1,1
91,59425120227,59432832132,1,1,1
92,59445120227,59452173361,1,1,1
93,59465120227,59473448241,1,1,1
94,59485120227,59493111374,1,1,1
95,59505120227,59511957350,1,1,1
96,59525120227,59531847986,1,1,1
97,59545120227,59552355471,1,1,1
98,59565120227,59573133561,1,1,1
99,59585120227,59592043582,1,1,1
