index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,60611506276,62220046850,1,1,1
1,60631506276,62380052080,1,1,1
2,60651506276,62466219113,1,1,1
3,60671506276,63321294169,1,1,1
4,60691506276,63356868046,1,1,1
5,60711506276,63397651495,1,1,1
6,60731506276,63433223106,1,1,1
7,60751506276,63478947543,1,1,1
8,60771506276,63514857964,1,1,1
9,60791506276,63554923852,1,1,1
10,60811506276,63578488620,1,1,1
11,60831506276,63611466936,1,1,1
12,60851506276,63643043455,1,1,1
13,60871506276,63674180194,1,1,1
14,60891506276,63702866550,1,1,1
15,60911506276,63759115610,1,1,1
16,60931506276,63793265105,1,1,1
17,60951506276,63829603177,1,1,1
18,60971506276,63863724876,1,1,1
19,60991506276,63897606867,1,1,1
20,61011506276,64355591562,1,1,1
21,61031506276,64429073679,1,1,1
22,61051506276,64452614815,1,1,1
23,61071506276,64481687289,1,1,1
24,61091506276,64506826511,1,1,1
25,61111506276,64544487806,1,1,1
26,61131506276,64580133334,1,1,1
27,61151506276,64612416947,1,1,1
28,61171506276,64644828321,1,1,1
29,61191506276,64682760133,1,1,1
30,61211506276,64719408025,1,1,1
31,61231506276,64751343249,1,1,1
32,61251506276,64777599506,1,1,1
33,61271506276,64804815894,1,1,1
34,61291506276,64827021494,1,1,1
35,61311506276,64860852288,1,1,1
36,61331506276,64894753513,1,1,1
37,61351506276,64928855865,1,1,1
38,61371506276,64951952485,1,1,1
39,61391506276,64991208324,1,1,1
40,61411506276,65025623893,1,1,1
41,61431506276,65060639607,1,1,1
42,61451506276,65084338557,1,1,1
43,61471506276,65114019670,1,1,1
44,61491506276,65142371030,1,1,1
45,61511506276,65172958908,1,1,1
46,61531506276,65205961059,1,1,1
47,61551506276,65241692845,1,1,1
48,61571506276,65637259440,1,1,1
49,61591506276,0,0,1,0
50,61611506276,0,0,1,0
51,61631506276,0,0,1,0
52,61651506276,0,0,1,0
53,61671506276,0,0,1,0
54,61691506276,0,0,1,0
55,61711506276,0,0,1,0
56,61731506276,0,0,1,0
57,61751506276,0,0,1,0
58,61771506276,0,0,1,0
59,61791506276,0,0,1,0
60,61811506276,0,0,1,0
61,61831506276,0,0,1,0
62,61851506276,0,0,1,0
63,61871506276,0,0,1,0
64,61891506276,0,0,1,0
65,61911506276,0,0,1,0
66,61931506276,0,0,1,0
67,61951506276,0,0,1,0
68,61971506276,0,0,1,0
69,61991506276,0,0,1,0
70,62011506276,0,0,1,0
71,62031506276,0,0,1,0
72,62051506276,0,0,1,0
73,62071506276,0,0,1,0
74,62091506276,0,0,1,0
75,62111506276,0,0,1,0
76,62131506276,0,0,1,0
77,62151506276,0,0,1,0
78,62171506276,0,0,1,0
79,62191506276,0,0,1,0
80,62211506276,0,0,1,0
81,62231506276,0,0,1,0
82,62251506276,0,0,1,0
83,62271506276,0,0,1,0
84,62291506276,0,0,1,0
85,62311506276,0,0,1,0
86,62331506276,0,0,1,0
87,62351506276,0,0,1,0
88,62371506276,0,0,1,0
89,62391506276,0,0,1,0
90,62411506276,0,0,1,0
91,62431506276,0,0,1,0
92,62451506276,0,0,1,0
93,62471506276,0,0,1,0
94,62491506276,0,0,1,0
95,62511506276,0,0,1,0
96,62531506276,0,0,1,0
97,62551506276,0,0,1,0
98,62571506276,0,0,1,0
99,62591506276,0,0,1,0
