index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,82094750798,82105651451,1,1,1
1,82114750798,82121880341,1,1,1
2,82134750798,82142270133,1,1,1
3,82154750798,82161814651,1,1,1
4,82174750798,82182340201,1,1,1
5,82194750798,82202319597,1,1,1
6,82214750798,82221768036,1,1,1
7,82234750798,82241310698,1,1,1
8,82254750798,82261439911,1,1,1
9,82274750798,82281822728,1,1,1
10,82294750798,82302291079,1,1,1
11,82314750798,82321490643,1,1,1
12,82334750798,82341657565,1,1,1
13,82354750798,82361981638,1,1,1
14,82374750798,82381743071,1,1,1
15,82394750798,82402034137,1,1,1
16,82414750798,82421800554,1,1,1
17,82434750798,82441766807,1,1,1
18,82454750798,82461496239,1,1,1
19,82474750798,82481564345,1,1,1
20,82494750798,82502356822,1,1,1
21,82514750798,82522068313,1,1,1
22,82534750798,82542167022,1,1,1
23,82554750798,82561359132,1,1,1
24,82574750798,82581354974,1,1,1
25,82594750798,82602588904,1,1,1
26,82614750798,82622097402,1,1,1
27,82634750798,82641526051,1,1,1
28,82654750798,82661839681,1,1,1
29,82674750798,82681206621,1,1,1
30,82694750798,82701959669,1,1,1
31,82714750798,82722637993,1,1,1
32,82734750798,82741358635,1,1,1
33,82754750798,82761737794,1,1,1
34,82774750798,82781626273,1,1,1
35,82794750798,82802165849,1,1,1
36,82814750798,82822543591,1,1,1
37,82834750798,82842245705,1,1,1
38,82854750798,82861459595,1,1,1
39,82874750798,82881526614,1,1,1
40,82894750798,82901708782,1,1,1
41,82914750798,82922825702,1,1,1
42,82934750798,82942187608,1,1,1
43,82954750798,82961461308,1,1,1
44,82974750798,82981802125,1,1,1
45,82994750798,83001950433,1,1,1
46,83014750798,83022725571,1,1,1
47,83034750798,83041941511,1,1,1
48,83054750798,83061500940,1,1,1
49,83074750798,83081776666,1,1,1
50,83094750798,83101506169,1,1,1
51,83114750798,83122283410,1,1,1
52,83134750798,83142072984,1,1,1
53,83154750798,83161533174,1,1,1
54,83174750798,83181617642,1,1,1
55,83194750798,83201574356,1,1,1
56,83214750798,83222223356,1,1,1
57,83234750798,83242307504,1,1,1
58,83254750798,83261879316,1,1,1
59,83274750798,83281252401,1,1,1
60,83294750798,83301490881,1,1,1
61,83314750798,83321930931,1,1,1
62,83334750798,83342177013,1,1,1
63,83354750798,83361574680,1,1,1
64,83374750798,83381757629,1,1,1
65,83394750798,83401390867,1,1,1
66,83414750798,83422049287,1,1,1
67,83434750798,83442297728,1,1,1
68,83454750798,83461472908,1,1,1
69,83474750798,83481826530,1,1,1
70,83494750798,83501733416,1,1,1
71,83514750798,83522372837,1,1,1
72,83534750798,83542842260,1,1,1
73,83554750798,83561968114,1,1,1
74,83574750798,83581497942,1,1,1
75,83594750798,83601712113,1,1,1
76,83614750798,83622069898,1,1,1
77,83634750798,83642584799,1,1,1
78,83654750798,83661726710,1,1,1
79,83674750798,83681384672,1,1,1
80,83694750798,83701465968,1,1,1
81,83714750798,83722587928,1,1,1
82,83734750798,83742197649,1,1,1
83,83754750798,83761974425,1,1,1
84,83774750798,83781461394,1,1,1
85,83794750798,83801560434,1,1,1
86,83814750798,83821655556,1,1,1
87,83834750798,83842241414,1,1,1
88,83854750798,83861859499,1,1,1
89,83874750798,83881616543,1,1,1
90,83894750798,83901741299,1,1,1
91,83914750798,83921809782,1,1,1
92,83934750798,83942167377,1,1,1
93,83954750798,83961862253,1,1,1
94,83974750798,83981963802,1,1,1
95,83994750798,84001401758,1,1,1
96,84014750798,84021814825,1,1,1
97,84034750798,84042003056,1,1,1
98,84054750798,84061768023,1,1,1
99,84074750798,84081680214,1,1,1
