index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,7706542860,7718401925,1,1,1
1,7711542860,7724598553,1,1,1
2,7716542860,7731016878,1,1,1
3,7721542860,7737996595,1,1,1
4,7726542860,7743663040,1,1,1
5,7731542860,7749496655,1,1,1
6,7736542860,7755262446,1,1,1
7,7741542860,7762946017,1,1,1
8,7746542860,7768906135,1,1,1
9,7751542860,7774630740,1,1,1
10,7756542860,7781531781,1,1,1
11,7761542860,7787787458,1,1,1
12,7766542860,7793739996,1,1,1
13,7771542860,7799725659,1,1,1
14,7776542860,7805317285,1,1,1
15,7781542860,7811572280,1,1,1
16,7786542860,7817917116,1,1,1
17,7791542860,7823420303,1,1,1
18,7796542860,7829759011,1,1,1
19,7801542860,7835422134,1,1,1
20,7806542860,7842949014,1,1,1
21,7811542860,7849433768,1,1,1
22,7816542860,7854908065,1,1,1
23,7821542860,7860859407,1,1,1
24,7826542860,7867806774,1,1,1
25,7831542860,7873279722,1,1,1
26,7836542860,7879877594,1,1,1
27,7841542860,7885667198,1,1,1
28,7846542860,7891307273,1,1,1
29,7851542860,7898261391,1,1,1
30,7856542860,7903287447,1,1,1
31,7861542860,7909098500,1,1,1
32,7866542860,7915691632,1,1,1
33,7871542860,7921531732,1,1,1
34,7876542860,7928468060,1,1,1
35,7881542860,7934692230,1,1,1
36,7886542860,7940371522,1,1,1
37,7891542860,7947890903,1,1,1
38,7896542860,7953262654,1,1,1
39,7901542860,7959070157,1,1,1
40,7906542860,7965985855,1,1,1
41,7911542860,7973205477,1,1,1
42,7916542860,7979423695,1,1,1
43,7921542860,7985540936,1,1,1
44,7926542860,7991570784,1,1,1
45,7931542860,7998595363,1,1,1
46,7936542860,8004208306,1,1,1
47,7941542860,8009948620,1,1,1
48,7946542860,8018031103,1,1,1
49,7951542860,8023911265,1,1,1
50,7956542860,8030425451,1,1,1
51,7961542860,8036344350,1,1,1
52,7966542860,8042917334,1,1,1
53,7971542860,8049638854,1,1,1
54,7976542860,8055779183,1,1,1
55,7981542860,8063109966,1,1,1
56,7986542860,8068986618,1,1,1
57,7991542860,8074644003,1,1,1
58,7996542860,8082879844,1,1,1
59,8001542860,8088241095,1,1,1
60,8006542860,8094529961,1,1,1
61,8011542860,8101199191,1,1,1
62,8016542860,8106562189,1,1,1
63,8021542860,8113409459,1,1,1
64,8026542860,8119196114,1,1,1
65,8031542860,8124807688,1,1,1
66,8036542860,8131371963,1,1,1
67,8041542860,8137848947,1,1,1
68,8046542860,8143317692,1,1,1
69,8051542860,8149328042,1,1,1
70,8056542860,8155204625,1,1,1
71,8061542860,8162958872,1,1,1
72,8066542860,8168458121,1,1,1
73,8071542860,8174674676,1,1,1
74,8076542860,8182931428,1,1,1
75,8081542860,8188880798,1,1,1
76,8086542860,8195535921,1,1,1
77,8091542860,8202869613,1,1,1
78,8096542860,8208221302,1,1,1
79,8101542860,8214691316,1,1,1
80,8106542860,8220377411,1,1,1
81,8111542860,8226210263,1,1,1
82,8116542860,8233252261,1,1,1
83,8121542860,8238806167,1,1,1
84,8126542860,8245005895,1,1,1
85,8131542860,8251122153,1,1,1
86,8136542860,8257921703,1,1,1
87,8141542860,8264188770,1,1,1
88,8146542860,8269809106,1,1,1
89,8151542860,8276218811,1,1,1
90,8156542860,8282824373,1,1,1
91,8161542860,8288415699,1,1,1
92,8166542860,8294405990,1,1,1
93,8171542860,8300468640,1,1,1
94,8176542860,8307872561,1,1,1
95,8181542860,8314121478,1,1,1
96,8186542860,8319810563,1,1,1
97,8191542860,8326374007,1,1,1
98,8196542860,8332996359,1,1,1
99,8201542860,8338229829,1,1,1
100,8206542860,8344489326,1,1,1
101,8211542860,8351214067,1,1,1
102,8216542860,8357858479,1,1,1
103,8221542860,8364224754,1,1,1
104,8226542860,8369604803,1,1,1
105,8231542860,8376232976,1,1,1
106,8236542860,8382809487,1,1,1
107,8241542860,8388562901,1,1,1
108,8246542860,8394356295,1,1,1
109,8251542860,8400238046,1,1,1
110,8256542860,8406122399,1,1,1
111,8261542860,8413373102,1,1,1
112,8266542860,8419298275,1,1,1
113,8271542860,8428339495,1,1,1
