index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,11141222859,11141530347,0,0,11159305342,11159305342,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,4774429974187203373
1,11191222859,11191367627,0,0,11202482020,11202482020,1,3,1,3,3,50,50,50,103,3,3405582928,0,1,16048958698555942270
2,11241222859,11241409233,0,0,11254823036,11254823036,1,4,1,4,4,100,100,100,104,4,3405386328,0,1,5451598767031816623
3,11291222859,11291453280,0,0,11307461487,11307461487,1,5,1,5,5,150,150,150,105,5,3405451864,0,1,9055242905382782948
4,11341222859,11341475767,0,0,11356549428,11356549428,1,6,1,6,6,200,200,200,106,6,3405255256,0,1,3151234856762698545
5,11391222859,11391529413,0,0,11408260771,11408260771,1,7,1,7,7,250,250,250,107,7,3405320792,0,1,10006907430143233642
6,11441222859,11441352913,0,0,11452262139,11452262139,1,8,1,8,8,300,300,300,108,8,3405124176,0,1,4011911695392296987
7,11491222859,11491483198,0,0,11502733270,11502733270,1,9,1,9,9,350,350,350,109,9,3405189712,0,1,17228528009857409928
8,11541222859,11541284258,0,0,11550444658,11550444658,1,10,1,10,10,400,400,400,110,10,3404993104,0,1,12045828808516835765
9,11591222859,11591433613,0,0,11605593116,11605593116,1,11,1,11,11,450,450,450,111,11,3405058640,0,1,2283607172493153814
10,11641222859,11641381251,0,0,11655233118,11655233118,1,12,1,12,12,500,500,500,112,12,3404862024,0,1,14821367979718701095
11,11691222859,11691448237,0,0,11707771042,11707771042,1,13,1,13,13,550,550,550,113,13,3404927560,0,1,1052591936132787020
12,11741222859,11741397816,0,0,11755620408,11755620408,1,14,1,14,14,600,600,600,114,14,3404730952,0,1,15895853364553036137
13,11791222859,11791482351,0,0,11806499315,11806499315,1,15,1,15,15,650,650,650,115,15,3404796488,0,1,15849859542654809490
14,11841222859,11841460519,0,0,11851706724,11851706724,1,16,1,16,16,700,700,700,116,16,3404599888,0,1,11981784447037669123
15,11891222859,11891411997,0,0,11905594379,11905594379,1,17,1,17,17,750,750,750,117,17,3404665424,0,1,11780989594488859616
16,11941222859,11941360625,0,0,11953081810,11953081810,1,18,1,18,18,800,800,800,118,18,3404468816,0,1,3742231858626031389
17,11991222859,11991456270,0,0,12008475085,12008475085,1,19,1,19,19,850,850,850,119,19,3404534352,0,1,14870251116190517902
18,12041222859,12041440398,0,0,12056564158,12056564158,1,20,1,20,20,900,900,900,120,20,3404337752,0,1,426017369431466591
19,12091222859,12091349466,0,0,12100690415,12100690415,1,21,1,21,21,950,950,950,121,21,3404403288,0,1,4705458992029017876
20,12141222859,12141361933,0,0,12149640274,12149640274,1,22,1,22,22,1000,1000,1000,122,22,3404206680,0,1,2012024416247559809
21,12191222859,12191500829,0,0,12201294709,12201294709,1,23,1,23,23,1050,1050,1050,123,23,3404272216,0,1,15222061102725008890
22,12241222859,12241404107,0,0,12251306856,12251306856,1,24,1,24,24,1100,1100,1100,124,24,3404075600,0,1,17069839448510532427
23,12291222859,12291497713,0,0,12305307221,12305307221,1,25,1,25,25,1150,1150,1150,125,25,3404141136,0,1,513788848062478936
24,12341222859,12341396592,0,0,12353977115,12353977115,1,26,1,26,26,1200,1200,1200,126,26,3403944528,0,1,18265234127782704837
25,12391222859,12391328122,0,0,12402391434,12402391434,1,27,1,27,27,1250,1250,1250,127,27,3404010064,0,1,6590824227392771462
26,12441222859,12441348007,0,0,12450163601,12450163601,1,28,1,28,28,1300,1300,1300,128,28,3403813544,0,1,18194807278034273719
27,12491222859,12491456522,0,0,12507939955,12507939955,1,29,1,29,29,1350,1350,1350,129,29,3403879080,0,1,18297779891517556572
28,12541222859,12541406770,0,0,12553663338,12553663338,1,30,1,30,30,1400,1400,1400,130,30,3403682472,0,1,6579873441968054233
29,12591222859,12591330188,0,0,12603833013,12603833013,1,31,1,31,31,1450,1450,1450,131,31,3403748008,0,1,6678782201137988418
30,12641222859,12641492294,0,0,12658017865,12658017865,1,32,1,32,32,1500,1500,1500,132,32,3403551376,0,1,11410052767036679891
31,12691222859,12691344332,0,0,12700641609,12700641609,1,33,1,33,33,1550,1550,1550,133,33,3403616912,0,1,17682883651958789968
32,12741222859,12741343830,0,0,12753264493,12753264493,1,34,1,34,34,1600,1600,1600,134,34,3403420304,0,1,10306697556505957389
33,12791222859,12791380226,0,0,12805181876,12805181876,1,35,1,35,35,1650,1650,1650,135,35,3403485840,0,1,4661807046404386014
34,12841222859,12841466142,0,0,12858593356,12858593356,1,36,1,36,36,1700,1700,1700,136,36,3403289240,0,1,13399892518081614479
35,12891222859,12891413380,0,0,12905743761,12905743761,1,37,1,37,37,1750,1750,1750,137,37,3403354776,0,1,11189678740612114500
36,12941222859,12941485457,0,0,12960501615,12960501615,1,38,1,38,38,1800,1800,1800,138,38,3403158168,0,1,15922479397963708945
37,12991222859,12991405695,0,0,13003721633,13003721633,1,39,1,39,39,1850,1850,1850,139,39,3403223704,0,1,9879422175431787722
38,13041222859,13041383032,0,0,13051585147,13051585147,1,40,1,40,40,1900,1900,1900,140,40,3403027088,0,1,15048358194723220411
39,13091222859,13091433599,0,0,13103434880,13103434880,1,41,1,41,41,1950,1950,1950,141,41,3403092624,0,1,2704991308795488616
