index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,22415456320,22415588729,22415593493,22415593523,22419639029,0,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,0
1,22435456320,22435567377,22435570563,22435570593,22437443401,0,1,3,1,3,3,20,20,20,103,3,3405582928,0,1,0
2,22455456320,22455580868,22455584084,22455584105,22457586850,0,1,4,1,4,4,40,40,40,104,4,3405386328,0,1,0
3,22475456320,22475583004,22475586944,22475586964,22477931289,0,1,5,1,5,5,60,60,60,105,5,3405451864,0,1,0
4,22495456320,22495574548,22495577071,22495577101,22497476676,0,1,6,1,6,6,80,80,80,106,6,3405255256,0,1,0
5,22515456320,22515563114,22515565778,22515565798,22517097710,0,1,7,1,7,7,100,100,100,107,7,3405320792,0,1,0
6,22535456320,22535562335,22535565401,22535565421,22536976906,0,1,8,1,8,8,120,120,120,108,8,3405124176,0,1,0
7,22555456320,22555558118,22555561646,22555561666,22556913235,0,1,9,1,9,9,140,140,140,109,9,3405189712,0,1,0
8,22575456320,22575567599,22575570856,22575570886,22577414115,0,1,10,1,10,10,160,160,160,110,10,3404993104,0,1,0
9,22595456320,22595563284,22595566069,22595566089,22597022796,0,1,11,1,11,11,180,180,180,111,11,3405058640,0,1,0
10,22615456320,22615555349,22615557721,22615557741,22616964120,0,1,12,1,12,12,200,200,200,112,12,3404862024,0,1,0
11,22635456320,22635553605,22635560450,22635560470,22636919386,0,1,13,1,13,13,220,220,220,113,13,3404927560,0,1,0
12,22655456320,22655553247,22655555850,22655555870,22656974452,0,1,14,1,14,14,240,240,240,114,14,3404730952,0,1,0
13,22675456320,22675578750,22675583997,22675584037,22677557754,0,1,15,1,15,15,260,260,260,115,15,3404796488,0,1,0
14,22695456320,22695742554,22695749228,22695749248,22697107033,0,1,16,1,16,16,280,280,280,116,16,3404599888,0,1,0
15,22715456320,22715551442,22715553955,22715553975,22716945156,0,1,17,1,17,17,300,300,300,117,17,3404665424,0,1,0
16,22735456320,22735550218,22735552992,22735553012,22736968943,0,1,18,1,18,18,320,320,320,118,18,3404468816,0,1,0
17,22755456320,22755547361,22755550014,22755550045,22756883430,0,1,19,1,19,19,340,340,340,119,19,3404534352,0,1,0
18,22775456320,22775727305,22775730763,22775730793,22777438347,0,1,20,1,20,20,360,360,360,120,20,3404337752,0,1,0
19,22795456320,22795544797,22795547672,22795547692,22797049128,0,1,21,1,21,21,380,380,380,121,21,3404403288,0,1,0
20,22815456320,22815593711,22815597440,22815597460,22817125836,0,1,22,1,22,22,400,400,400,122,22,3404206680,0,1,0
