index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,25203966377,25205183219,25205185437,25205185457,25211710931,0,1,2,1,2,2,1,1,1,102,2,3405517392,0,1,0
1,25403966377,25404778608,25404781949,25404781979,25410775898,0,1,3,1,3,3,200,200,200,103,3,3405582928,0,1,0
2,25603966377,25604062954,25604065292,25604065322,25610810991,0,1,4,1,4,4,400,400,400,104,4,3405386328,0,1,0
3,25803966377,25804075934,25804078583,25804078603,25809962513,0,1,5,1,5,5,600,600,600,105,5,3405451864,0,1,0
4,26003966377,26004053026,26004055334,26004055354,26009484094,0,1,6,1,6,6,800,800,800,106,6,3405255256,0,1,0
5,26203966377,26204050979,26204053637,26204053657,26209802538,0,1,7,1,7,7,1000,1000,1000,107,7,3405320792,0,1,0
6,26403966377,26404078715,26404081011,26404081032,26409863371,0,1,8,1,8,8,1200,1200,1200,108,8,3405124176,0,1,0
7,26603966377,26604068695,26604071533,26604071553,26609841406,0,1,9,1,9,9,1400,1400,1400,109,9,3405189712,0,1,0
8,26803966377,26804115294,26804120530,26804120560,26811787881,0,1,10,1,10,10,1600,1600,1600,110,10,3404993104,0,1,0
9,27003966377,27004050530,27004053388,27004053418,27008043639,0,1,11,1,11,11,1800,1800,1800,111,11,3405058640,0,1,0
