index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,87317224596,87348379252,4,4,1
1,87367224596,87398480267,4,4,1
2,87417224596,87447522967,4,4,1
3,87467224596,87497242590,4,4,1
4,87517224596,87549855653,4,4,1
5,87567224596,87597146306,4,4,1
6,87617224596,87646999111,4,4,1
7,87667224596,87696491687,4,4,1
8,87717224596,87747961733,4,4,1
9,87767224596,87794059792,4,4,1
10,87817224596,87848216883,4,4,1
11,87867224596,87896201127,4,4,1
12,87917224596,87947688132,4,4,1
13,87967224596,87995846957,4,4,1
14,88017224596,88049651975,4,4,1
15,88067224596,88096722494,4,4,1
16,88117224596,88146345627,4,4,1
17,88167224596,88197848349,4,4,1
18,88217224596,88249552677,4,4,1
19,88267224596,88297856910,4,4,1
20,88317224596,88346472762,4,4,1
21,88367224596,88398140215,4,4,1
22,88417224596,88448670018,4,4,1
23,88467224596,88499430894,4,4,1
24,88517224596,88545818786,4,4,1
25,88567224596,88597462422,4,4,1
26,88617224596,88647762260,4,4,1
27,88667224596,88698166599,4,4,1
28,88717224596,88748147232,4,4,1
29,88767224596,88799693824,4,4,1
30,88817224596,88848494847,4,4,1
31,88867224596,88900109106,4,4,1
32,88917224596,88946043550,4,4,1
33,88967224596,88998038265,4,4,1
34,89017224596,89047859220,4,4,1
35,89067224596,89098373232,4,4,1
36,89117224596,89146415232,4,4,1
37,89167224596,89198160501,4,4,1
38,89217224596,89246835956,4,4,1
39,89267224596,89290853144,4,4,1
