index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,92415640727,92415884493,0,0,92421462292,0,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,4774429974187203373
1,92435640727,92435840846,0,0,92440566065,0,1,3,1,3,3,20,20,20,103,3,3405582928,0,1,13426377539132232496
2,92455640727,92455847150,0,0,92461447909,0,1,4,1,4,4,40,40,40,104,4,3405386328,0,1,16317485104455312971
3,92475640727,92476043158,0,0,92482439196,0,1,5,1,5,5,60,60,60,105,5,3405451864,0,1,9281386619930351886
4,92495640727,92495740402,0,0,92502955963,0,1,6,1,6,6,80,80,80,106,6,3405255256,0,1,4207167852566342121
5,92515640727,92515924328,0,0,92521005145,0,1,7,1,7,7,100,100,100,107,7,3405320792,0,1,5123562713873769796
6,92535640727,92535746585,0,0,92539743080,0,1,8,1,8,8,120,120,120,108,8,3405124176,0,1,15737126253732286999
7,92555640727,92555755957,0,0,92559672312,0,1,9,1,9,9,140,140,140,109,9,3405189712,0,1,8657481726397294290
8,92575640727,92575865967,0,0,92582878903,0,1,10,1,10,10,160,160,160,110,10,3404993104,0,1,3216935579984168165
9,92595640727,92595794240,0,0,92601448483,0,1,11,1,11,11,180,180,180,111,11,3405058640,0,1,16679827896059152024
10,92615640727,92615904201,0,0,92621570636,0,1,12,1,12,12,200,200,200,112,12,3404862024,0,1,13898363259832689459
11,92635640727,92635818511,0,0,92641585225,0,1,13,1,13,13,220,220,220,113,13,3404927560,0,1,7293780188335522534
12,92655640727,92662059571,0,0,92662060910,0,1,14,1,14,14,240,240,240,114,14,3404730952,0,1,8911981789767786337
13,92675640727,92675884746,0,0,92679645257,0,1,15,1,15,15,260,260,260,115,15,3404796488,0,1,4554332971433832396
14,92695640727,92695907400,0,0,92699791366,0,1,16,1,16,16,280,280,280,116,16,3404599888,0,1,6106139039898993567
15,92715640727,92715734735,0,0,92720144066,0,1,17,1,17,17,300,300,300,117,17,3404665424,0,1,283954056137930922
16,92735640727,92735906207,0,0,92742330496,0,1,18,1,18,18,320,320,320,118,18,3404468816,0,1,5803865569983919293
17,92755640727,92755909223,0,0,92761304506,0,1,19,1,19,19,340,340,340,119,19,3404534352,0,1,16147134965264094272
18,92775640727,92775919235,0,0,92781430597,0,1,20,1,20,20,360,360,360,120,20,3404337752,0,1,16904111247313540315
19,92795640727,92795852664,0,0,92800968620,0,1,21,1,21,21,380,380,380,121,21,3404403288,0,1,13311621995020434334
