index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,92415640727,92415760857,92415765684,92415765714,92421425594,0,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,0
1,92435640727,92435728925,92435731614,92435731634,92440550612,0,1,3,1,3,3,20,20,20,103,3,3405582928,0,1,0
2,92455640727,92455729523,92455732241,92455732271,92461431187,0,1,4,1,4,4,40,40,40,104,4,3405386328,0,1,0
3,92475640727,92475803136,92475822345,92475822365,92482329651,0,1,5,1,5,5,60,60,60,105,5,3405451864,0,1,0
4,92495640727,92495731448,92495734586,92495734616,92502933927,0,1,6,1,6,6,80,80,80,106,6,3405255256,0,1,0
5,92515640727,92515727049,92515730127,92515730157,92520970336,0,1,7,1,7,7,100,100,100,107,7,3405320792,0,1,0
6,92535640727,92535731644,92535734562,92535734582,92539726391,0,1,8,1,8,8,120,120,120,108,8,3405124176,0,1,0
7,92555640727,92555748651,92555751760,92555751790,92559652945,0,1,9,1,9,9,140,140,140,109,9,3405189712,0,1,0
8,92575640727,92575725824,92575728812,92575728842,92582857656,0,1,10,1,10,10,160,160,160,110,10,3404993104,0,1,0
9,92595640727,92595737544,92595740383,92595740403,92601424678,0,1,11,1,11,11,180,180,180,111,11,3405058640,0,1,0
10,92615640727,92615725700,92615728629,92615728649,92621546990,0,1,12,1,12,12,200,200,200,112,12,3404862024,0,1,0
11,92635640727,92635731214,92635733923,92635733943,92641567955,0,1,13,1,13,13,220,220,220,113,13,3404927560,0,1,0
12,92655640727,92655747672,92655750800,92655750820,92661864590,0,1,14,1,14,14,240,240,240,114,14,3404730952,0,1,0
13,92675640727,92675725964,92675728642,92675728662,92679629337,0,1,15,1,15,15,260,260,260,115,15,3404796488,0,1,0
14,92695640727,92695746569,92695751366,92695751396,92699770169,0,1,16,1,16,16,280,280,280,116,16,3404599888,0,1,0
15,92715640727,92715727070,92715729489,92715729519,92720117252,0,1,17,1,17,17,300,300,300,117,17,3404665424,0,1,0
16,92735640727,92735735552,92735738720,92735738740,92742310118,0,1,18,1,18,18,320,320,320,118,18,3404468816,0,1,0
17,92755640727,92755729274,92755731952,92755731972,92761284339,0,1,19,1,19,19,340,340,340,119,19,3404534352,0,1,0
18,92775640727,92775738056,92775741135,92775741155,92781409210,0,1,20,1,20,20,360,360,360,120,20,3404337752,0,1,0
19,92795640727,92795732158,92795734817,92795734837,92800940357,0,1,21,1,21,21,380,380,380,121,21,3404403288,0,1,0
20,92815640727,92815742081,92815747118,92815747148,92821328206,0,1,22,1,22,22,400,400,400,122,22,3404206680,0,1,0
21,92835640727,92835730176,92835732734,92835732754,92839692452,0,1,23,1,23,23,420,420,420,123,23,3404272216,0,1,0
22,92855640727,92855727356,92855729484,92855729504,92860563383,0,1,24,1,24,24,440,440,440,124,24,3404075600,0,1,0
23,92875640727,92875724146,92875727753,92875727773,92881410989,0,1,25,1,25,25,460,460,460,125,25,3404141136,0,1,0
24,92895640727,92895726083,92895729102,92895729122,92902524531,0,1,26,1,26,26,480,480,480,126,26,3403944528,0,1,0
25,92915640727,92915739474,92915743841,92915743871,92921561463,0,1,27,1,27,27,500,500,500,127,27,3404010064,0,1,0
