index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,92415640727,92421462292,1,1,1
1,92435640727,92440566065,1,1,1
2,92455640727,92461447909,1,1,1
3,92475640727,92482439196,1,1,1
4,92495640727,92502955963,1,1,1
5,92515640727,92521005145,1,1,1
6,92535640727,92539743080,1,1,1
7,92555640727,92559672312,1,1,1
8,92575640727,92582878903,1,1,1
9,92595640727,92601448483,1,1,1
10,92615640727,92621570636,1,1,1
11,92635640727,92641585225,1,1,1
12,92655640727,92662060910,1,1,1
13,92675640727,92679645257,1,1,1
14,92695640727,92699791366,1,1,1
15,92715640727,92720144066,1,1,1
16,92735640727,92742330496,1,1,1
17,92755640727,92761304506,1,1,1
18,92775640727,92781430597,1,1,1
19,92795640727,92800968620,1,1,1
20,92815640727,92821352731,1,1,1
21,92835640727,92839708613,1,1,1
22,92855640727,92860582632,1,1,1
23,92875640727,92881433995,1,1,1
24,92895640727,92902547297,1,1,1
25,92915640727,92921585469,1,1,1
26,92935640727,92939643924,1,1,1
27,92955640727,92959684517,1,1,1
28,92975640727,92981151900,1,1,1
29,92995640727,93001758554,1,1,1
30,93015640727,93021713400,1,1,1
31,93035640727,93041446353,1,1,1
32,93055640727,93061446571,1,1,1
33,93075640727,93079635545,1,1,1
34,93095640727,93099739120,1,1,1
35,93115640727,93119828523,1,1,1
36,93135640727,93142373711,1,1,1
37,93155640727,93161386898,1,1,1
38,93175640727,93181395699,1,1,1
39,93195640727,93201689121,1,1,1
40,93215640727,93222291191,1,1,1
41,93235640727,93239901493,1,1,1
42,93255640727,93260835572,1,1,1
43,93275640727,93283554162,1,1,1
44,93295640727,93301603392,1,1,1
45,93315640727,93321919154,1,1,1
46,93335640727,93339639573,1,1,1
47,93355640727,93359639902,1,1,1
48,93375640727,93379637334,1,1,1
49,93395640727,93403801640,1,1,1
50,93415640727,93421446184,1,1,1
51,93435640727,93441357878,1,1,1
52,93455640727,93461442765,1,1,1
53,93475640727,93479767882,1,1,1
54,93495640727,93501985496,1,1,1
55,93515640727,93520171950,1,1,1
56,93535640727,93541514494,1,1,1
57,93555640727,93561366279,1,1,1
58,93575640727,93582737648,1,1,1
59,93595640727,93600719366,1,1,1
60,93615640727,93619985077,1,1,1
61,93635640727,93639628628,1,1,1
62,93655640727,93662522320,1,1,1
63,93675640727,93681898518,1,1,1
64,93695640727,93701440624,1,1,1
65,93715640727,93721503561,1,1,1
66,93735640727,93741933037,1,1,1
67,93755640727,93759605286,1,1,1
68,93775640727,93779588310,1,1,1
69,93795640727,93801550530,1,1,1
70,93815640727,93823011634,1,1,1
71,93835640727,93841408659,1,1,1
72,93855640727,93860562025,1,1,1
73,93875640727,93879591076,1,1,1
74,93895640727,93902248548,1,1,1
75,93915640727,93920651729,1,1,1
76,93935640727,93941616712,1,1,1
77,93955640727,93961298191,1,1,1
78,93975640727,93982517020,1,1,1
79,93995640727,93999789447,1,1,1
80,94015640727,94020172054,1,1,1
81,94035640727,94039636187,1,1,1
82,94055640727,94062382993,1,1,1
83,94075640727,94081691338,1,1,1
84,94095640727,94101782580,1,1,1
85,94115640727,94122306247,1,1,1
86,94135640727,94139718466,1,1,1
87,94155640727,94159670846,1,1,1
88,94175640727,94179680131,1,1,1
89,94195640727,94201897492,1,1,1
90,94215640727,94221658775,1,1,1
91,94235640727,94242544761,1,1,1
92,94255640727,94260575696,1,1,1
93,94275640727,94279602458,1,1,1
94,94295640727,94299894125,1,1,1
95,94315640727,94319814761,1,1,1
96,94335640727,94343147366,1,1,1
97,94355640727,94361717436,1,1,1
98,94375640727,94381642998,1,1,1
99,94395640727,94400777766,1,1,1
