index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,57605120227,57607317124,0,0,57615307606,57615307606,1,2,1,2,2,0,0,0,102,2,3405517392,0,1,4774429974187203373
1,57625120227,57625347299,0,0,57634691884,57634691884,1,3,1,3,3,20,20,20,103,3,3405582928,0,1,13426377539132232496
2,57645120227,57645333923,0,0,57654432908,57654432908,1,4,1,4,4,40,40,40,104,4,3405386328,0,1,16317485104455312971
3,57665120227,57665404187,0,0,57674128852,57674128852,1,5,1,5,5,60,60,60,105,5,3405451864,0,1,9281386619930351886
4,57685120227,57687858590,0,0,57694536241,57694536241,1,6,1,6,6,80,80,80,106,6,3405255256,0,1,4207167852566342121
5,57705120227,57705283773,0,0,57713804552,57713804552,1,7,1,7,7,100,100,100,107,7,3405320792,0,1,5123562713873769796
6,57725120227,57725408399,0,0,57733762352,57733762352,1,8,1,8,8,120,120,120,108,8,3405124176,0,1,15737126253732286999
7,57745120227,57745239075,0,0,57754276131,57754276131,1,9,1,9,9,140,140,140,109,9,3405189712,0,1,8657481726397294290
8,57765120227,57765366832,0,0,57773222433,57773222433,1,10,1,10,10,160,160,160,110,10,3404993104,0,1,3216935579984168165
9,57785120227,57785387215,0,0,57793328860,57793328860,1,11,1,11,11,180,180,180,111,11,3405058640,0,1,16679827896059152024
10,57805120227,57805378018,0,0,57813720931,57813720931,1,12,1,12,12,200,200,200,112,12,3404862024,0,1,13898363259832689459
11,57825120227,57825297264,0,0,57833798556,57833798556,1,13,1,13,13,220,220,220,113,13,3404927560,0,1,7293780188335522534
12,57845120227,57845322731,0,0,57852880252,57852880252,1,14,1,14,14,240,240,240,114,14,3404730952,0,1,8911981789767786337
13,57865120227,57865231839,0,0,57873527954,57873527954,1,15,1,15,15,260,260,260,115,15,3404796488,0,1,4554332971433832396
14,57885120227,57885411807,0,0,57893410867,57893410867,1,16,1,16,16,280,280,280,116,16,3404599888,0,1,6106139039898993567
15,57905120227,57905265350,0,0,57913824420,57913824420,1,17,1,17,17,300,300,300,117,17,3404665424,0,1,283954056137930922
16,57925120227,57925261190,0,0,57933860492,57933860492,1,18,1,18,18,320,320,320,118,18,3404468816,0,1,5803865569983919293
17,57945120227,57945407498,0,0,57953415170,57953415170,1,19,1,19,19,340,340,340,119,19,3404534352,0,1,16147134965264094272
18,57965120227,57965445030,0,0,57973782960,57973782960,1,20,1,20,20,360,360,360,120,20,3404337752,0,1,16904111247313540315
19,57985120227,57985365961,0,0,57993680154,57993680154,1,21,1,21,21,380,380,380,121,21,3404403288,0,1,13311621995020434334
20,58005120227,58005439235,0,0,58014761493,58014761493,1,22,1,22,22,400,400,400,122,22,3404206680,0,1,6942240656151661785
21,58025120227,58025282689,0,0,58034652744,58034652744,1,23,1,23,23,420,420,420,123,23,3404272216,0,1,18175866178061182356
22,58045120227,58045398945,0,0,58053025312,58053025312,1,24,1,24,24,440,440,440,124,24,3404075600,0,1,5788570186159153991
23,58065120227,58065348237,0,0,58073919803,58073919803,1,25,1,25,25,460,460,460,125,25,3404141136,0,1,2061102309804683778
24,58085120227,58085346956,0,0,58094948349,58094948349,1,26,1,26,26,480,480,480,126,26,3403944528,0,1,1854646785294112757
25,58105120227,58105359018,0,0,58114974703,58114974703,1,27,1,27,27,500,500,500,127,27,3404010064,0,1,1674842902314114408
26,58125120227,58125419089,0,0,58134615611,58134615611,1,28,1,28,28,520,520,520,128,28,3403813544,0,1,7694676677492878019
27,58145120227,58145354380,0,0,58154477937,58154477937,1,29,1,29,29,540,540,540,129,29,3403879080,0,1,13966216223731805814
28,58165120227,58165291867,0,0,58175056373,58175056373,1,30,1,30,30,560,560,560,130,30,3403682472,0,1,16426417548982856017
29,58185120227,58185258048,0,0,58198858414,58198858414,1,31,1,31,31,580,580,580,131,31,3403748008,0,1,12866077710401299868
30,58205120227,58205407789,0,0,58215892912,58215892912,1,32,1,32,32,600,600,600,132,32,3403551376,0,1,5082530503958371343
31,58225120227,58225414184,0,0,58237028352,58237028352,1,33,1,33,33,620,620,620,133,33,3403616912,0,1,13292880833454021274
32,58245120227,58245559807,0,0,58254456948,58254456948,1,34,1,34,34,640,640,640,134,34,3403420304,0,1,872353146269010893
33,58265120227,58265244422,0,0,58273767467,58273767467,1,35,1,35,35,660,660,660,135,35,3403485840,0,1,17425956721991815632
34,58285120227,58285263698,0,0,58294375459,58294375459,1,36,1,36,36,680,680,680,136,36,3403289240,0,1,4053740192865497451
35,58305120227,58305255615,0,0,58313549538,58313549538,1,37,1,37,37,700,700,700,137,37,3403354776,0,1,16900360916513477806
36,58325120227,58325437274,0,0,58334055098,58334055098,1,38,1,38,38,720,720,720,138,38,3403158168,0,1,13838575109440319561
