index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,60611506276,60613317315,0,0,62220046850,62220046850,1,2,1,2,2,1,1,1,102,2,3405517392,0,1,15739329941083173786
1,60631506276,62220049491,0,0,62380052080,62380052080,1,3,1,3,3,28,28,28,103,3,3405582928,0,1,15198393386779682536
2,60651506276,62380054309,0,0,62466219113,62466219113,1,4,1,4,4,51,51,51,104,4,3405386328,0,1,5237255974639696298
3,60671506276,62466222316,0,0,63321294169,63321294169,1,5,1,5,5,87,87,87,105,5,3405451864,0,1,9861870021460466335
4,60691506276,63321295976,0,0,63356868046,63356868046,1,6,1,6,6,110,110,110,106,6,3405255256,0,1,11758477662100400055
5,60711506276,63356869983,0,0,63397651495,63397651495,1,7,1,7,7,133,133,133,107,7,3405320792,0,1,9273523388512535155
6,60731506276,63397653633,0,0,63433223106,63433223106,1,8,1,8,8,156,156,156,108,8,3405124176,0,1,11734435098382011243
7,60751506276,63433224903,0,0,63478947543,63478947543,1,9,1,9,9,177,177,177,109,9,3405189712,0,1,4527025699083830961
8,60771506276,63478949890,0,0,63514857964,63514857964,1,10,1,10,10,210,210,210,110,10,3404993104,0,1,625606262209104639
9,60791506276,63514860812,0,0,63554923852,63554923852,1,11,1,11,11,231,231,231,111,11,3405058640,0,1,4422266210479709473
10,60811506276,63554926169,0,0,63578488620,63578488620,1,12,1,12,12,253,253,253,112,12,3404862024,0,1,3355140434460671176
11,60831506276,63578490445,0,0,63611466936,63611466936,1,13,1,13,13,275,275,275,113,13,3404927560,0,1,4463906602997017427
12,60851506276,63611469895,0,0,63643043455,63643043455,1,14,1,14,14,294,294,294,114,14,3404730952,0,1,15820281741037539063
13,60871506276,63643045802,0,0,63674180194,63674180194,1,15,1,15,15,332,332,332,115,15,3404796488,0,1,14706449282450773428
14,60891506276,63674182461,0,0,63702866550,63702866550,1,16,1,16,16,367,367,367,116,16,3404599888,0,1,14975002236045872002
15,60911506276,63702868766,0,0,63759115610,63759115610,1,17,1,17,17,403,403,403,117,17,3404665424,0,1,8113632178322739231
16,60931506276,63759118379,0,0,63793265105,63793265105,1,18,1,18,18,436,436,436,118,18,3404468816,0,1,7623353496420642969
17,60951506276,63793266900,0,0,63829603177,63829603177,1,19,1,19,19,456,456,456,119,19,3404534352,0,1,11052817292552378788
18,60971506276,63829605144,0,0,63863724876,63863724876,1,20,1,20,20,471,471,471,120,20,3404337752,0,1,8429039169588652382
19,60991506276,63863726822,0,0,63897606867,63897606867,1,21,1,21,21,504,504,504,121,21,3404403288,0,1,2223782021922193194
20,61011506276,63897608642,0,0,64355591562,64355591562,1,22,1,22,22,526,526,526,122,22,3404206680,0,1,4418052035120381639
21,61031506276,64355595615,0,0,64429073679,64429073679,1,23,1,23,23,553,553,553,123,23,3404272216,0,1,6365738996880945103
22,61051506276,64429078614,0,0,64452614815,64452614815,1,24,1,24,24,648,648,648,124,24,3404075600,0,1,1090523676295919031
23,61071506276,64452617573,0,0,64481687289,64481687289,1,25,1,25,25,677,677,677,125,25,3404141136,0,1,1641914314978824861
24,61091506276,64481689214,0,0,64506826511,64506826511,1,26,1,26,26,699,699,699,126,26,3403944528,0,1,7908121784230502484
25,61111506276,64506828568,0,0,64544487806,64544487806,1,27,1,27,27,733,733,733,127,27,3404010064,0,1,9449170751475481583
26,61131506276,64544490101,0,0,64580133334,64580133334,1,28,1,28,28,756,756,756,128,28,3403813544,0,1,2809694596310631959
27,61151506276,64580135261,0,0,64612416947,64612416947,1,29,1,29,29,803,803,803,129,29,3403879080,0,1,7515985547893503507
28,61171506276,64612419014,0,0,64644828321,64644828321,1,30,1,30,30,828,828,828,130,30,3403682472,0,1,9757968106389225181
29,61191506276,64644830487,0,0,64682760133,64682760133,1,31,1,31,31,848,848,848,131,31,3403748008,0,1,13165865443044839632
30,61211506276,64682762001,0,0,64719408025,64719408025,1,32,1,32,32,867,867,867,132,32,3403551376,0,1,13256176154702598686
31,61231506276,64719409794,0,0,64751343249,64751343249,1,33,1,33,33,901,901,901,133,33,3403616912,0,1,6256858662402951477
32,61251506276,64751345226,0,0,64777599506,64777599506,1,34,1,34,34,925,925,925,134,34,3403420304,0,1,10285141603662967862
33,61271506276,64777602178,0,0,64804815894,64804815894,1,35,1,35,35,947,947,947,135,35,3403485840,0,1,1599848337444258309
