index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,60611506276,60613141600,60613144082,60613144112,60640057229,0,1,2,1,2,2,1,1,1,102,2,3405517392,0,1,0
1,60631506276,60640068563,60640071215,60640071245,60662530915,0,1,3,1,3,3,28,28,28,103,3,3405582928,0,1,0
2,60651506276,60662541625,60662544247,60662544267,60699355118,0,1,4,1,4,4,51,51,51,104,4,3405386328,0,1,0
3,60671506276,60699369103,60699371997,60699372027,60721548307,0,1,5,1,5,5,87,87,87,105,5,3405451864,0,1,0
4,60691506276,60721559580,60721562413,60721562433,60744981439,0,1,6,1,6,6,110,110,110,106,6,3405255256,0,1,0
5,60711506276,60744992381,60744995134,60744995154,60768143458,0,1,7,1,7,7,133,133,133,107,7,3405320792,0,1,0
6,60731506276,60768156017,60768158539,60768158569,60788552981,0,1,8,1,8,8,156,156,156,108,8,3405124176,0,1,0
7,60751506276,60788565459,60788568443,60788568474,60821541469,0,1,9,1,9,9,177,177,177,109,9,3405189712,0,1,0
8,60771506276,60821554108,60821557243,60821557273,60842912780,0,1,10,1,10,10,210,210,210,110,10,3404993104,0,1,0
9,60791506276,60842927017,60842930142,60842930162,60865385832,0,1,11,1,11,11,231,231,231,111,11,3405058640,0,1,0
10,60811506276,60865396864,60865399537,60865399557,60887492575,0,1,12,1,12,12,253,253,253,112,12,3404862024,0,1,0
11,60831506276,60887504571,60887507375,60887507395,60905692110,0,1,13,1,13,13,275,275,275,113,13,3404927560,0,1,0
12,60851506276,60905704890,60905707703,60905707733,60943998905,0,1,14,1,14,14,294,294,294,114,14,3404730952,0,1,0
13,60871506276,60944048578,60944101205,60944101256,60978940968,0,1,15,1,15,15,332,332,332,115,15,3404796488,0,1,0
14,60891506276,60978949900,60978952221,60978952241,61015381700,0,1,16,1,16,16,367,367,367,116,16,3404599888,0,1,0
15,60911506276,61015396077,61015399463,61015399483,61048275765,0,1,17,1,17,17,403,403,403,117,17,3404665424,0,1,0
16,60931506276,61048287752,61048290685,61048290705,61067944297,0,1,18,1,18,18,436,436,436,118,18,3404468816,0,1,0
17,60951506276,61067955560,61067958585,61067958605,61083429493,0,1,19,1,19,19,456,456,456,119,19,3404534352,0,1,0
18,60971506276,61083445116,61083448733,61083448763,61116469221,0,1,20,1,20,20,471,471,471,120,20,3404337752,0,1,0
19,60991506276,61116481107,61116483910,61116483930,61138190917,0,1,21,1,21,21,504,504,504,121,21,3404403288,0,1,0
20,61011506276,61138205566,61138208811,61138208831,61165366345,0,1,22,1,22,22,526,526,526,122,22,3404206680,0,1,0
21,61031506276,61165378019,61165380933,61165380953,61259780363,0,1,23,1,23,23,553,553,553,123,23,3404272216,0,1,0
22,61051506276,61259791435,61259794218,61259794238,61289376059,0,1,24,1,24,24,648,648,648,124,24,3404075600,0,1,0
23,61071506276,61289389311,61289392425,61289392445,61310631373,0,1,25,1,25,25,677,677,677,125,25,3404141136,0,1,0
24,61091506276,61310647539,61310650945,61310650975,61345134717,0,1,26,1,26,26,699,699,699,126,26,3403944528,0,1,0
25,61111506276,61345148200,61345151355,61345151375,61367801438,0,1,27,1,27,27,733,733,733,127,27,3404010064,0,1,0
26,61131506276,61367813515,61367816479,61367816509,61415477768,0,1,28,1,28,28,756,756,756,128,28,3403813544,0,1,0
27,61151506276,61415489151,61415492025,61415492055,61440339962,0,1,29,1,29,29,803,803,803,129,29,3403879080,0,1,0
28,61171506276,61440351285,61440353646,61440353676,61460185134,0,1,30,1,30,30,828,828,828,130,30,3403682472,0,1,0
29,61191506276,61460196940,61460199391,61460199411,61478860910,0,1,31,1,31,31,848,848,848,131,31,3403748008,0,1,0
30,61211506276,61478874847,61478878382,61478878412,61513340948,0,1,32,1,32,32,867,867,867,132,32,3403551376,0,1,0
31,61231506276,61513355337,61513358208,61513358229,61536622159,0,1,33,1,33,33,901,901,901,133,33,3403616912,0,1,0
32,61251506276,61536633365,61536636287,61536636317,61558741661,0,1,34,1,34,34,925,925,925,134,34,3403420304,0,1,0
33,61271506276,61558753288,61558756311,61558756331,61581743227,0,1,35,1,35,35,947,947,947,135,35,3403485840,0,1,0
34,61291506276,61581756612,61581759393,61581759413,61616879253,0,1,36,1,36,36,970,970,970,136,36,3403289240,0,1,0
35,61311506276,61616890489,61616893501,61616893522,61644676360,0,1,37,1,37,37,1005,1005,1005,137,37,3403354776,0,1,0
36,61331506276,61644687546,61644690669,61644690689,61666105281,0,1,38,1,38,38,1033,1033,1033,138,38,3403158168,0,1,0
37,61351506276,61666117150,61666120283,61666120303,61690191282,0,1,39,1,39,39,1054,1054,1054,139,39,3403223704,0,1,0
38,61371506276,61690202709,61690205831,61690205851,61708717617,0,1,40,1,40,40,1078,1078,1078,140,40,3403027088,0,1,0
