index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,82094750798,82096484065,82096488381,82096488411,82100517692,0,1,2,1,2,2,1,1,1,102,2,3405517392,0,1,0
1,82114750798,82114860340,82114863197,82114863218,82116837044,0,1,3,1,3,3,20,20,20,103,3,3405582928,0,1,0
2,82134750798,82134927743,82134930731,82134930751,82136816237,0,1,4,1,4,4,40,40,40,104,4,3405386328,0,1,0
3,82154750798,82154852807,82154855483,82154855513,82156740961,0,1,5,1,5,5,60,60,60,105,5,3405451864,0,1,0
4,82174750798,82174854452,82174857155,82174857175,82176704566,0,1,6,1,6,6,80,80,80,106,6,3405255256,0,1,0
5,82194750798,82194846726,82194849419,82194849439,82196325053,0,1,7,1,7,7,100,100,100,107,7,3405320792,0,1,0
6,82214750798,82214866226,82214869935,82214869965,82216432292,0,1,8,1,8,8,120,120,120,108,8,3405124176,0,1,0
7,82234750798,82234852841,82234855525,82234855545,82236252771,0,1,9,1,9,9,140,140,140,109,9,3405189712,0,1,0
8,82254750798,82254857849,82254860432,82254860452,82256224833,0,1,10,1,10,10,160,160,160,110,10,3404993104,0,1,0
9,82274750798,82274856083,82274858736,82274858766,82276114160,0,1,11,1,11,11,180,180,180,111,11,3405058640,0,1,0
10,82294750798,82294856818,82294860155,82294860185,82296225049,0,1,12,1,12,12,200,200,200,112,12,3404862024,0,1,0
11,82314750798,82314867173,82314870168,82314870188,82316269314,0,1,13,1,13,13,220,220,220,113,13,3404927560,0,1,0
12,82334750798,82334856703,82334859296,82334859326,82336533828,0,1,14,1,14,14,240,240,240,114,14,3404730952,0,1,0
13,82354750798,82354853077,82354855670,82354855690,82356533900,0,1,15,1,15,15,260,260,260,115,15,3404796488,0,1,0
14,82374750798,82374852768,82374855884,82374855904,82376209109,0,1,16,1,16,16,280,280,280,116,16,3404599888,0,1,0
15,82394750798,82394855505,82394858248,82394858269,82396188438,0,1,17,1,17,17,300,300,300,117,17,3404665424,0,1,0
16,82414750798,82414860895,82414864392,82414864413,82416446116,0,1,18,1,18,18,320,320,320,118,18,3404468816,0,1,0
17,82434750798,82434863459,82434866294,82434866314,82436290456,0,1,19,1,19,19,340,340,340,119,19,3404534352,0,1,0
18,82454750798,82454855181,82454858296,82454858316,82456213622,0,1,20,1,20,20,360,360,360,120,20,3404337752,0,1,0
19,82474750798,82474855866,82474858610,82474858630,82476183765,0,1,21,1,21,21,380,380,380,121,21,3404403288,0,1,0
20,82494750798,82494855759,82494858493,82494858513,82496194140,0,1,22,1,22,22,400,400,400,122,22,3404206680,0,1,0
21,82514750798,82514853459,82514856705,82514856726,82516658457,0,1,23,1,23,23,420,420,420,123,23,3404272216,0,1,0
22,82534750798,82534872146,82534874960,82534874980,82536291122,0,1,24,1,24,24,440,440,440,124,24,3404075600,0,1,0
23,82554750798,82554854379,82554857515,82554857545,82556221514,0,1,25,1,25,25,460,460,460,125,25,3404141136,0,1,0
24,82574750798,82574852814,82574855899,82574855919,82576205296,0,1,26,1,26,26,480,480,480,126,26,3403944528,0,1,0
25,82594750798,82594857319,82594860032,82594860052,82596194916,0,1,27,1,27,27,500,500,500,127,27,3404010064,0,1,0
26,82614750798,82614870890,82614877132,82614877152,82616674842,0,1,28,1,28,28,520,520,520,128,28,3403813544,0,1,0
27,82634750798,82634867736,82634870912,82634870932,82636387881,0,1,29,1,29,29,540,540,540,129,29,3403879080,0,1,0
28,82654750798,82654856381,82654863306,82654863326,82656236683,0,1,30,1,30,30,560,560,560,130,30,3403682472,0,1,0
29,82674750798,82674852927,82674855419,82674855449,82676179417,0,1,31,1,31,31,580,580,580,131,31,3403748008,0,1,0
30,82694750798,82694853171,82694855764,82694855794,82696223663,0,1,32,1,32,32,600,600,600,132,32,3403551376,0,1,0
31,82714750798,82714857695,82714860178,82714860208,82716757168,0,1,33,1,33,33,620,620,620,133,33,3403616912,0,1,0
32,82734750798,82734865889,82734868754,82734868774,82736258543,0,1,34,1,34,34,640,640,640,134,34,3403420304,0,1,0
33,82754750798,82754860123,82754863209,82754863229,82756245641,0,1,35,1,35,35,660,660,660,135,35,3403485840,0,1,0
34,82774750798,82774853502,82774856598,82774856618,82776396030,0,1,36,1,36,36,680,680,680,136,36,3403289240,0,1,0
35,82794750798,82794857012,82794863082,82794863103,82796195423,0,1,37,1,37,37,700,700,700,137,37,3403354776,0,1,0
36,82814750798,82814855919,82814859024,82814859045,82816268865,0,1,38,1,38,38,720,720,720,138,38,3403158168,0,1,0
37,82834750798,82834860957,82834864314,82834864344,82836463577,0,1,39,1,39,39,740,740,740,139,39,3403223704,0,1,0
38,82854750798,82854862517,82854865934,82854865954,82856285393,0,1,40,1,40,40,760,760,760,140,40,3403027088,0,1,0
39,82874750798,82874853072,82874856127,82874856147,82876251605,0,1,41,1,41,41,780,780,780,141,41,3403092624,0,1,0
40,82894750798,82894847376,82894849939,82894849959,82896223316,0,1,42,1,42,42,800,800,800,142,42,3402896016,0,1,0
41,82914750798,82914850745,82914878234,82914878274,82916489036,0,1,43,1,43,43,820,820,820,143,43,3402961552,0,1,0
42,82934750798,82934858205,82934861220,82934861250,82936623031,0,1,44,1,44,44,840,840,840,144,44,3402764936,0,1,0
43,82954750798,82954858841,82954861796,82954861816,82956236801,0,1,45,1,45,45,860,860,860,145,45,3402830472,0,1,0
44,82974750798,82974849999,82974853105,82974853125,82976256141,0,1,46,1,46,46,880,880,880,146,46,3402633864,0,1,0
45,82994750798,82994854725,82994857449,82994857479,82996267561,0,1,47,1,47,47,900,900,900,147,47,3402699400,0,1,0
46,83014750798,83014855934,83014859050,83014859070,83016207612,0,1,48,1,48,48,920,920,920,148,48,3402502800,0,1,0
47,83034750798,83034867144,83034870802,83034870822,83036481472,0,1,49,1,49,49,940,940,940,149,49,3402568336,0,1,0
