index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,79464373475,79467356522,0,0,79520140469,79520140469,1,2,1,2,2,2,2,2,102,2,3405517392,0,1,7422661048600401975
1,79484373475,79520141682,0,0,79536886618,79536886618,1,3,1,3,3,34,34,34,103,3,3405582928,0,1,2206858677164853454
2,79504373475,79536888214,0,0,79553825924,79553825924,1,4,1,4,4,40,40,40,104,4,3405386328,0,1,16317485104455312971
3,79524373475,79553827954,0,0,79570666197,79570666197,1,5,1,5,5,60,60,60,105,5,3405451864,0,1,9281386619930351886
4,79544373475,79570668986,0,0,79581817003,79581817003,1,6,1,6,6,80,80,80,106,6,3405255256,0,1,4207167852566342121
5,79564373475,79581818670,0,0,79599259176,79599259176,1,7,1,7,7,100,100,100,107,7,3405320792,0,1,5123562713873769796
6,79584373475,79599261055,0,0,79615200158,79615200158,1,8,1,8,8,120,120,120,108,8,3405124176,0,1,15737126253732286999
7,79604373475,79615202391,0,0,79630547973,79630547973,1,9,1,9,9,140,140,140,109,9,3405189712,0,1,8657481726397294290
8,79624373475,79630550206,0,0,79642356732,79642356732,1,10,1,10,10,160,160,160,110,10,3404993104,0,1,3216935579984168165
9,79644373475,79644787093,0,0,79661463100,79661463100,1,11,1,11,11,180,180,180,111,11,3405058640,0,1,16679827896059152024
10,79664373475,79664814852,0,0,79681495770,79681495770,1,12,1,12,12,200,200,200,112,12,3404862024,0,1,13898363259832689459
11,79684373475,79684757064,0,0,79701006252,79701006252,1,13,1,13,13,220,220,220,113,13,3404927560,0,1,7293780188335522534
12,79704373475,79704583562,0,0,79722015085,79722015085,1,14,1,14,14,240,240,240,114,14,3404730952,0,1,8911981789767786337
13,79724373475,79724769718,0,0,79741319984,79741319984,1,15,1,15,15,260,260,260,115,15,3404796488,0,1,4554332971433832396
14,79744373475,79744735450,0,0,79763041796,79763041796,1,16,1,16,16,280,280,280,116,16,3404599888,0,1,6106139039898993567
15,79764373475,79764609106,0,0,79781295863,79781295863,1,17,1,17,17,300,300,300,117,17,3404665424,0,1,283954056137930922
16,79784373475,79784645220,0,0,79800534117,79800534117,1,18,1,18,18,320,320,320,118,18,3404468816,0,1,5803865569983919293
17,79804373475,79804704443,0,0,79821008456,79821008456,1,19,1,19,19,340,340,340,119,19,3404534352,0,1,16147134965264094272
18,79824373475,79824747277,0,0,79843624227,79843624227,1,20,1,20,20,360,360,360,120,20,3404337752,0,1,16904111247313540315
19,79844373475,79844704036,0,0,79860429250,79860429250,1,21,1,21,21,380,380,380,121,21,3404403288,0,1,13311621995020434334
20,79864373475,79864694493,0,0,79883074433,79883074433,1,22,1,22,22,400,400,400,122,22,3404206680,0,1,6942240656151661785
21,79884373475,79884755502,0,0,79901069762,79901069762,1,23,1,23,23,420,420,420,123,23,3404272216,0,1,18175866178061182356
22,79904373475,79904710029,0,0,79922379710,79922379710,1,24,1,24,24,440,440,440,124,24,3404075600,0,1,5788570186159153991
23,79924373475,79924606751,0,0,79941276151,79941276151,1,25,1,25,25,460,460,460,125,25,3404141136,0,1,2061102309804683778
24,79944373475,79944642512,0,0,79962685814,79962685814,1,26,1,26,26,480,480,480,126,26,3403944528,0,1,1854646785294112757
25,79964373475,79964639333,0,0,79981669905,79981669905,1,27,1,27,27,500,500,500,127,27,3404010064,0,1,1674842902314114408
26,79984373475,79984683289,0,0,80002659915,80002659915,1,28,1,28,28,520,520,520,128,28,3403813544,0,1,7694676677492878019
27,80004373475,80004660248,0,0,80020438081,80020438081,1,29,1,29,29,540,540,540,129,29,3403879080,0,1,13966216223731805814
28,80024373475,80024751982,0,0,80053633597,80053633597,1,30,1,30,30,560,560,560,130,30,3403682472,0,1,16426417548982856017
29,80044373475,80053636143,0,0,80064570123,80064570123,1,31,1,31,31,580,580,580,131,31,3403748008,0,1,12866077710401299868
30,80064373475,80064760548,0,0,80082321785,80082321785,1,32,1,32,32,600,600,600,132,32,3403551376,0,1,5082530503958371343
