index,planned_ns,started_ns,prepared_ns,publication_started_ns,completed_ns,checkpoint_confirmed_by_ns,outcome,sequence,epoch,version,proof,value_ms,verified_ms,received_ms,price,quantity,checksum,gap,time_known,seal
0,79464373475,79467264475,79467267022,79467267042,79498783427,0,1,2,1,2,2,2,2,2,102,2,3405517392,0,1,0
1,79484373475,79498794925,79498797704,79498797734,79503354916,0,1,3,1,3,3,34,34,34,103,3,3405582928,0,1,0
2,79504373475,79504478447,79504479568,79504479588,79515041359,0,1,4,1,4,4,40,40,40,104,4,3405386328,0,1,0
3,79524373475,79524562330,79524565422,79524565442,79531650568,0,1,5,1,5,5,60,60,60,105,5,3405451864,0,1,0
4,79544373475,79544602944,79544606510,79544606530,79553803834,0,1,6,1,6,6,80,80,80,106,6,3405255256,0,1,0
5,79564373475,79564489299,79564492906,79564492926,79570639645,0,1,7,1,7,7,100,100,100,107,7,3405320792,0,1,0
6,79584373475,79584509278,79584511238,79584511269,79593368558,0,1,8,1,8,8,120,120,120,108,8,3405124176,0,1,0
7,79604373475,79604504563,79604506332,79604506352,79609087632,0,1,9,1,9,9,140,140,140,109,9,3405189712,0,1,0
8,79624373475,79624625298,79624627339,79624627369,79630523441,0,1,10,1,10,10,160,160,160,110,10,3404993104,0,1,0
9,79644373475,79644610973,79644614004,79644614034,79650728017,0,1,11,1,11,11,180,180,180,111,11,3405058640,0,1,0
10,79664373475,79664650048,79664652625,79664652645,79669377015,0,1,12,1,12,12,200,200,200,112,12,3404862024,0,1,0
11,79684373475,79684606524,79684609626,79684609646,79689445199,0,1,13,1,13,13,220,220,220,113,13,3404927560,0,1,0
12,79704373475,79704467681,79704470601,79704470631,79709914367,0,1,14,1,14,14,240,240,240,114,14,3404730952,0,1,0
13,79724373475,79724604652,79724607390,79724607410,79729246919,0,1,15,1,15,15,260,260,260,115,15,3404796488,0,1,0
14,79744373475,79744609142,79744612981,79744613011,79750320316,0,1,16,1,16,16,280,280,280,116,16,3404599888,0,1,0
15,79764373475,79764602114,79764604761,79764604781,79770685928,0,1,17,1,17,17,300,300,300,117,17,3404665424,0,1,0
16,79784373475,79784598420,79784601340,79784601360,79788306989,0,1,18,1,18,18,320,320,320,118,18,3404468816,0,1,0
17,79804373475,79804609265,79804612417,79804612437,79810099073,0,1,19,1,19,19,340,340,340,119,19,3404534352,0,1,0
18,79824373475,79824605126,79824607541,79824607562,79830972101,0,1,20,1,20,20,360,360,360,120,20,3404337752,0,1,0
19,79844373475,79844598562,79844600664,79844600694,79848591918,0,1,21,1,21,21,380,380,380,121,21,3404403288,0,1,0
20,79864373475,79864624826,79864628888,79864628908,79870572420,0,1,22,1,22,22,400,400,400,122,22,3404206680,0,1,0
21,79884373475,79884595640,79884598318,79884598338,79888347696,0,1,23,1,23,23,420,420,420,123,23,3404272216,0,1,0
22,79904373475,79904603019,79904606202,79904606222,79909989334,0,1,24,1,24,24,440,440,440,124,24,3404075600,0,1,0
