index,planned_ns,completed_ns,completed_consumers,expected_consumers,outcome
0,79464373475,79520140469,1,1,1
1,79484373475,79536886618,1,1,1
2,79504373475,79553825924,1,1,1
3,79524373475,79570666197,1,1,1
4,79544373475,79581817003,1,1,1
5,79564373475,79599259176,1,1,1
6,79584373475,79615200158,1,1,1
7,79604373475,79630547973,1,1,1
8,79624373475,79642356732,1,1,1
9,79644373475,79661463100,1,1,1
10,79664373475,79681495770,1,1,1
11,79684373475,79701006252,1,1,1
12,79704373475,79722015085,1,1,1
13,79724373475,79741319984,1,1,1
14,79744373475,79763041796,1,1,1
15,79764373475,79781295863,1,1,1
16,79784373475,79800534117,1,1,1
17,79804373475,79821008456,1,1,1
18,79824373475,79843624227,1,1,1
19,79844373475,79860429250,1,1,1
20,79864373475,79883074433,1,1,1
21,79884373475,79901069762,1,1,1
22,79904373475,79922379710,1,1,1
23,79924373475,79941276151,1,1,1
24,79944373475,79962685814,1,1,1
25,79964373475,79981669905,1,1,1
26,79984373475,80002659915,1,1,1
27,80004373475,80020438081,1,1,1
28,80024373475,80053633597,1,1,1
29,80044373475,80064570123,1,1,1
30,80064373475,80082321785,1,1,1
31,80084373475,80100927375,1,1,1
32,80104373475,80122441149,1,1,1
33,80124373475,80141307925,1,1,1
34,80144373475,80162478207,1,1,1
35,80164373475,80180788959,1,1,1
36,80184373475,80202158940,1,1,1
37,80204373475,80221553757,1,1,1
38,80224373475,80242477190,1,1,1
39,80244373475,80261403738,1,1,1
40,80264373475,80280751552,1,1,1
41,80284373475,80303036087,1,1,1
42,80304373475,80323483673,1,1,1
43,80324373475,80342891719,1,1,1
44,80344373475,80361289630,1,1,1
45,80364373475,80382193646,1,1,1
46,80384373475,80402650202,1,1,1
47,80404373475,80420529625,1,1,1
48,80424373475,80442115500,1,1,1
49,80444373475,80462697437,1,1,1
50,80464373475,80482900965,1,1,1
51,80484373475,80503818802,1,1,1
52,80504373475,80521732239,1,1,1
53,80524373475,80543630601,1,1,1
54,80544373475,80561913927,1,1,1
55,80564373475,80582766355,1,1,1
56,80584373475,80602679311,1,1,1
57,80604373475,80624184306,1,1,1
58,80624373475,80643661028,1,1,1
59,80644373475,80663005667,1,1,1
60,80664373475,80681038395,1,1,1
61,80684373475,80702697772,1,1,1
62,80704373475,80722613850,1,1,1
63,80724373475,80741023145,1,1,1
64,80744373475,80762522399,1,1,1
65,80764373475,80781992887,1,1,1
66,80784373475,80804230087,1,1,1
67,80804373475,80823181581,1,1,1
68,80824373475,80841246237,1,1,1
69,80844373475,80864432862,1,1,1
70,80864373475,80881328456,1,1,1
71,80884373475,80901975720,1,1,1
72,80904373475,80921743039,1,1,1
73,80924373475,80942703899,1,1,1
74,80944373475,80963304763,1,1,1
75,80964373475,80983095364,1,1,1
76,80984373475,81001616104,1,1,1
77,81004373475,81022871398,1,1,1
78,81024373475,81044147319,1,1,1
79,81044373475,81061803299,1,1,1
80,81064373475,81081727584,1,1,1
81,81084373475,81101689045,1,1,1
82,81104373475,81122579546,1,1,1
83,81124373475,81142887127,1,1,1
84,81144373475,81162112052,1,1,1
85,81164373475,81181848560,1,1,1
86,81184373475,81201782289,1,1,1
87,81204373475,81221336807,1,1,1
88,81224373475,81241263825,1,1,1
89,81244373475,81261193379,1,1,1
90,81264373475,81283738410,1,1,1
91,81284373475,81301720141,1,1,1
92,81304373475,81335224685,1,1,1
93,81324373475,81352570584,1,1,1
94,81344373475,81370660204,1,1,1
95,81364373475,81381832283,1,1,1
96,81384373475,81400988456,1,1,1
97,81404373475,81420132164,1,1,1
98,81424373475,81443164414,1,1,1
99,81444373475,81462127174,1,1,1
